Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,preset_Disease_Core,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Degnuenew,preset_Disease_Degnuegreen,preset_Disease_Degnueyellow,preset_Disease_Mpox,preset_Disease_Nipah,preset_Disease_Nigeria_Mpox,preset_Syndrome_Generic,preset_Syndrome_Influenza-like,preset_Syndrome_Neurologic,preset_Syndrome_Gastro,preset_Score_CharlsonCI,preset_Score_4C,preset_Score_SOFA,preset_Score_qSOFA,preset_Score_CURB65,preset_Score_SMARTCOP,preset_Score_APACHEII,preset_Score_NEWS,preset_Score_MPOXSSS,preset_Score_SF94,preset_Score_HospitalRecoveryScale,preset_Score_DengueWS,preset_WHOSchema_Day0,GHDay0,COMMENTS
presentation,,subjid,text,Participant Identification Number (PIN):,,,,,,,,The patient identification number or PIN is a unique number used to identify the patient's data.,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,1,,
presentation,INCLUSION CRITERIA,inclu_disease,user_list,Which of the following is the individual suspected/confirmed to have?,,,,,inclusion_Diseases,,,,,,,,1,1,1,1,1,,,,,1,1,1,1,,,,,,,,,,,,,1,,
presentation,INCLUSION CRITERIA,inclu_case,radio,Status of case,"1, Confirmed | 2,  Probable | 3, Suspected | 4, Discarded | 5, Error",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
presentation,INCLUSION CRITERIA,inclu_pathreg,radio,Infection region,"1, Endemic | 2, Emerging | 99, Unknown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
presentation,INCLUSION CRITERIA,inclu_fever,radio,Does the patient have reported/ measured fever (axillary temperature >38.5°C [101.3 °F])?,"1, Yes | 0, No",,,,,,,Refers to a patient reported or a measured fever (axillary temperature >38.5°C [101.3 °F]) in this current illness.,"Indicate 'Yes', if the patient meets this inclusion criterion. If 'No', then the patient does not meet inclusion criteria, please do not continue with this case report form.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_enceph,radio,"Does the patient have evidence of acute brain pathology (e.g., altered mental status, new onset seizures, or new neurological deficit either diffuse or localized to the brain).","1, Yes | 0, No",,,,,,,"Refers to the presence of acute brain pathology in this current illness. This can include altered mental status, new onset seizures, or new neurological deficit either diffuse or localized to the brain as identified by the treating clinician. ","Indicate 'Yes', if the patient meets this inclusion criterion. If 'No', then the patient does not meet inclusion criteria, please do not continue with this case report form.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_iccddrpat,radio,"Participant is enrolled in the icddr,b-IEDCR NiV surveillance programme.","1, Yes | 0, No",,,,,,,This is a requirement for inclusion in this study.,"Indicate 'Yes', if the patient meets this inclusion criterion. If 'No', then the patient does not meet inclusion criteria, please do not continue with this case report form.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_mpox,radio,Suspected or confirmed mpox,"1, Yes | 0, No",,,,,,,"Refer to the case definitions of the World Health Organisation (WHO) or your local public health case definitions. 
The WHO define a confirmed case as: A person with laboratory confirmed mpox virus infection by detection of unique sequences of viral DNA by real-time polymerase chain reaction (PCR) and/or sequencing.
The WHO define a suspected case as: 
i. A person who is a contact of a probable or confirmed mpox case in the 21 days before the onset of signs or symptoms, and who presents with any of the following: acute onset of fever (>38.5°C), headache, myalgia (muscle pain/body aches), back pain, profound weakness or fatigue. 
OR
ii. A person presenting since 01 January 2022 with an unexplained acute skin rash, mucosal lesions orlymphadenopathy (swollen lymph nodes). The skin rash may include single or multiple lesions in the ano-genital region or elsewhere on the body. Mucosal lesions may include single or multiple oral, conjunctival, urethral, penile, vaginal, or ano-rectal lesions. Ano-rectal lesions can also manifest as ano-rectal inflammation (proctitis), pain and/or bleeding.
AND
for which the following common causes of acute rash or skin lesions do not fully explain the clinical picture: varicella zoster, herpes zoster, measles, herpes simplex, bacterial skin infections, disseminated gonococcus infection, primary or secondary syphilis, chancroid, lymphogranuloma venereum, granuloma inguinale, molluscum contagiosum, allergic reaction (e.g., to plants); and any other locally relevant common causes of papular or vesicular rash.",Indicate 'Yes' if the patient meets the case definitions for a suspected or confirmed mpox case.,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consent,radio,Participant (or their legal representative) has provided consent to participate in this study.,"1, Yes | 0, No",,,,,,,,Indicate 'Yes' if the patient or their legal representative has provided their informed consent for participation in this study.,,,,,,,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consukops,checkbox,Consent options <u>(select all to which the patient agreed)</u>:,"1, Data and samples may be used for other unrelated ethically approved research in the UK or elsewhere | 2, Data and samples can be used to manufacture tests, treatments, or other products, including commercial products | 3, De-identified data and results of analyses, can be shared with other scientists, including those in other countries | 4, Participant may be contacted by the investigators to be invited to participate in future work, including research studies",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
