Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_H5Nx,preset_Score_CharlsonCI,preset_Score_SOFA
presentation,,subjid,text,Participant Identification Number (PIN),,,,,,,,The Participant Identification Number or PIN is a unique number used to identify the patient's (participant's) data.,Write the Participant Identification Number (PIN).,,,,,,1,1,1,1,,
presentation,INCLUSION CRITERIA,inclu_disease,user_list,Suspected or confirmed infection,,,,,inclusion_Diseases,,,This refers to any suspected or confirmed infection(s).,"If more than one infection is suspected, select the most likely and complete the PATHOGEN TESTING section with laboratory confirmation.",,,,,,1,1,1,1,,
presentation,INCLUSION CRITERIA,inclu_reason,radio,Is the suspected or confirmed infection the reason for hospital admission?,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to whether suspected or confirmed infection with the pathogen of interest if the reason (indication) for the hospital admission.,Indicate 'Yes' if suspected or confirmed infection with the pathogen of interest if the reason (indication) for the hospital admission. Indicate 'No' if the suspected or confirmed infection with the pathogen of interest is not the reason (indication) for hospital admission.,,,,,,1,,,,,
presentation,INCLUSION CRITERIA,inclu_case,radio,Status of case,"1, Confirmed | 2, Probable | 3, Suspected | 4, Discarded | 5, Error",,,,,,,"Confirmed refers to a case that is laboratory confirmed and may fulfil the clinical criteria as described in the case definition. Probable refers to a clinically compatible illness that is epidemiologically linked to a confirmed case without laboratory confirmation of infection with pathogen of interest. Suspected refers to a clinically compatible illness without epidemiological link or laboratory confirmation. Discarded refers to a patient with a negative laboratory test and has failed to fulfill the criteria for a suspect, probable or confirmed case. ",Select the most appropriate option that represents the status of the case. ,,,,,,,,1,,,
presentation,INCLUSION CRITERIA,inclu_testreason,radio,Reason why the patient was tested," 1, Symptomatic | 2, Asymptomatic, contact-traced | 3, Asymptomatic, mass testing campaign | 4, Not tested",,,,,,,This refers to the reason the patient was tested for the pathogen of interest.,Select the most appropriate option which corresponds to the reason the patient was tested for the pathogen of interest.,,,,,,,,1,,,
presentation,INCLUSION CRITERIA,inclu_consent,radio,Participant (or their representative) has provided consent to participate in this study.,"1, Yes | 0, No",,,,,,,This refers to provision of informed consent by the patient or their representative for participation in this study.,Indicate 'Yes' if the patient or their representative has provided their informed consent for participation in this study.,SNOMED,"61861000000100,  Consent (record artifact)",,,,,,1,,,
presentation,INCLUSION CRITERIA,inclu_consent_date,date_dmy,Date of consent,,date_dmy,,today,,[inclu_consent]='1',,This refers to provision of informed consent by the patient or their representative for participation in this study.,Write the date in which informed consent was given for the participants inclusion in this study. Use DD/MM/YYYY format.,SNOMED,"61861000000100,  Consent (record artifact)",,,,,,1,,,
presentation,ONSET & PRESENTATION,dates_onsetdate,date_dmy,Onset date of first / earliest symptom,,date_dmy,,today,,,,This refers to the date of onset of the first / earliest symptom which is clinically related to the current episode of illness.,Provide the date of the first symptom that you clinically believe was related to this episode of illness in DD/MM/YYYY format.,SNOMED,"405795006, Time of symptom onset (observable entity)","C3897410, Symptom Onset Date",,,1,1,1,1,,
presentation,ONSET & PRESENTATION,dates_consult,date_dmy,Date of first clinical consultation,,date_dmy,,today,,,,This refers to the date of first clinical consultation related to the current episode of illness.,Provide the date of first clinical consultation related to the current episode of illness in DD/MM/YYYY format.,,,,,,,,,1,,
presentation,ONSET & PRESENTATION,dates_adm,radio,Admitted to hospital,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to admission of the patient to your site for the current illness.,"Indicate 'Yes', if that patient was admitted to your site.",SNOMED,"32485007, Hospital admission (procedure)",,,,,1,1,1,,
presentation,ONSET & PRESENTATION,dates_adm_reas,text,Reason for hospitalisation,,,,,,[dates_adm] = '1',,This refers to the reason (indication) for hospitalisation.,"If 'Yes', specify the reason (indication) for hospitalisation.",,,,,,,,,1,,
presentation,ONSET & PRESENTATION,dates_admdate,date_dmy,Date of hospital admission,,date_dmy,,today,,[dates_adm] = '1',,This refers to the date of hospitalisation / admission of the patient to your site for the current illness.,Enter the date of hospitalisation / admission to your site (in DD/MM/YYYY format).,SNOMED,"32485007, Hospital admission (procedure)",,,,1,1,1,1,,
presentation,ONSET & PRESENTATION,dates_admtime,text,Time of hospital admission,,time,,,,[dates_adm] = '1',,This refers to admission of the patient to your site for the current illness.,Enter the time of admission to your site in 24-hour format (00:00 - 24:00 hours).,,,,,,,1,,,,
presentation,ONSET & PRESENTATION,dates_enrolment,date_dmy,Date of enrolment / start of data collection,,date_dmy,,today,,,,This refers to the date of enrolment / start of data collection.,Enter date of patient study enrolment in the format of day/month/year (DD/MM/YYYY).,,,,,,1,1,1,1,,
presentation,ONSET & PRESENTATION,dates_firstsym,multi_list,Symptom(s) during first 24 hours of illness (select all that apply),,,,,conditions_Symptoms,,,"This refers to the first symptom, or symptoms (if multiple occurred at the same time), that you clinically believe was related to this episode of illness.",Select all symptoms which the patient experienced during the first 24 hours of illness (select all that apply).,,,,,,,,1,,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevadm,radio,Was the patient admitted previously or transferred from any other facility during this illness episode?,"1, YES-admitted previously to this facility and discharged | 2, YES-admitted to other facility and discharged | 3, YES-admitted to another facility, then transferred to this facility | 0, No | 99, Unknown",,,,,,,This refers to previous admission to a health facility or transfer from another health facility during the current episode of illness.,Select the most appropriate option that represents whether or not the patient admitted previously or transferred from any other facility during this illness episode.,,,,,,1,1,1,1,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevsite,text,Name of transfer facility,,,,,,[readm_prevadm] = '1' or [readm_prevadm]='2' or [readm_prevadm]='3' ,,This refers to the name of the facility from which the patient was previously admitted or transferred.,Enter the name of the facility from which the patient was previously admitted or transferred.,,,,,,,,1,,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_numprev,number,Total number of previous admissions for this infection,,number,1,,,[readm_prevadm] = '1' or [readm_prevadm]='2' or [readm_prevadm]='3' ,,This refers to the number of times (for this infection) the patient has been admitted to a health facility.,Indicate the number of times (for this infection) the patient has been admitted to a health facility.,,,,,,1,1,1,1,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_firstadmdt,date_dmy,Date of earliest admission for this infection,,date_dmy,,today,,[readm_prevadm] = '1' or [readm_prevadm]='2' or [readm_prevadm]='3' ,,"This refers to the date of the first admission for this illness. If the patient was first 'admitted to other facility, then transferred to this facility' record the date the patient was admitted to the other health facility.",Write the date in DD/MM/YYYY format.,,,,,,,1,1,,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_difpin,radio,Has the patient's data been previously collected under a different participant identification number (PIN)? ,"1, Yes | 0, No | 99, Unknown",,,,,,,,Indicate 'Yes' if the patient's data has been previously collected under a different participant identification number (PIN),,,,,,1,1,1,1,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevpin,text,Previous Participant Identification Number (PIN),,,,,,[readm_difpin] = '1',,The Participant Identification Number or PIN is a unique number used to identify the patient's (participant's) data.,Write the Participant Identification Number (PIN).,,,,,,1,1,1,1,,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_reas,radio,Is the patient being re-admitted with or due to infection with pathogen of interest?,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to re-admission of the patient with or due to infection with pathogen of interest.,Indicate 'Yes' if the patient is being re-admitted with or due to infection with pathogen of interest.,,,,,,1,,,,,
presentation,DEMOGRAPHICS,demog_sex,radio,Sex at birth,"1, Male | 2, Female | 88, Other | 99, Not specified/Unknown",,,,,,,This refers to the physical sexual characteristics at birth.,Select the most appropriate option that represents the physical sexual characteristics at birth.,SNOMED,"281053000, Sex of baby at delivery (observable entity)",,,risk_factor_demo,1,1,1,1,,
presentation,DEMOGRAPHICS,demog_sex_oth,text,Specify other sex at birth,,,,,,[demog_sex]='88',,This refers to the physical sexual characteristics at birth.,"If 'Other', specify the physical sexual characteristics at birth.",SNOMED,"281053000, Sex of baby at delivery (observable entity)",,,risk_factor_demo,1,,1,1,,
presentation,DEMOGRAPHICS,demog_birthdate,date_dmy,Date of birth,,date_dmy,,today,,,,This refers to the calendar date on which the patient was born.,Record the participants date of birth in DD/MM/YYYY format.,,,,1,risk_factor_demo,,,,1,,
presentation,DEMOGRAPHICS,demog_gender,radio,Gender,"1, Man | 2, Woman | 3, Transgender | 4, Non-binary | 88, Other | 99, Unknown",,,,,,,"This refers to a person's internally held sense of their gender, which may or may not correspond to the individual's genotypic or phenotypic sex. ",Select the most appropriate option that represents the patient's gender identity.,SNOMED,"263495000, Gender (observable entity)","C0079399, Gender",,,,,,1,,
presentation,DEMOGRAPHICS,demog_gender_oth,text,Specify other gender,,,,,,[demog_gender]='88',,"This refers to a person's internally held sense of their gender, which may or may not correspond to the individual's genotypic or phenotypic sex. ",If 'Other' specify patient's gender identity.,SNOMED,"263495000, Gender (observable entity)","C0079399, Gender",,,,,,1,,
presentation,DEMOGRAPHICS,demog_age,text,Age,,number,0,,,,,This refers to the patient's age.,"For participants over the age of two years, please report age in years. For children under the age of one year, please report in months. For neonates, below the age of one month please report in days.",SNOMED,"424144002, Current chronological age (observable entity)",,,risk_factor_demo,1,1,1,1,1,
presentation,DEMOGRAPHICS,demog_age_units,radio,Age units,"1, Years | 2, Months | 3, Days",,,,,,,This refers to the patient's age at presentation to the health facility.,Select the most appropriate units for age.,SNOMED,"424144002, Current chronological age (observable entity)",,,risk_factor_demo,1,1,1,1,1,
presentation,DEMOGRAPHICS,demog_country,user_list,Country,,,,,demographics_Country,,,,Indicate the country of enrolment,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_height_cm,number,Height (cm),,number,0,250,,,,"This refers to the distance from the sole to the crown of the head with body standing on a flat surface and fully extended. For children under the age of 2, please use body length (measured while lying supine).","Indicate the patient's height in centimetres (cm). For children under the age of 2, please use length.",SNOMED,"1153637007, Body height (observable entity)","C0489786, Height",,,1,1,,1,,
presentation,DEMOGRAPHICS,demog_weight_kg,number,Weight (kg),,number,0,800,,,,"This refers to the weight of a subject, expressed in kilograms (kg).",Indicate the patient's weight in kilograms (kg).,SNOMED,"27113001,  Body weight (observable entity)","C0005910, Body Weight",,,1,1,,1,,
presentation,DEMOGRAPHICS,demog_race,checkbox,Race (select all that apply),"1, Arab | 2, Black | 3, East Asian | 4, South Asian | 5, South-East Asian | 6, West Asian | 7, Latin American | 8, White | 9, Aboriginal/First Nations/Indigenous | 88, Other | 99, Unknown",,,,,,,This refers to a geographic ancestral origin category that is assigned to a population group based mainly on physical characteristics that are thought to be distinct and inherent.,Select all that apply.,SNOMED,"103579009, Race (observable entity)","C3853635, Race",,,1,1,,1,,
presentation,DEMOGRAPHICS,demog_race_other,text,Specify other race,,,,,,[demog_race(88)]='1',,This refers to a geographic ancestral origin category that is assigned to a population group based mainly on physical characteristics that are thought to be distinct and inherent.,"If 'Other', specify the race.",SNOMED,"103579009, Race (observable entity)","C3853635, Race",,,1,1,,1,,
presentation,DEMOGRAPHICS,demog_healthcare,radio,Employed as a healthcare worker,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to a patient that is employed in the healthcare industry. ,Select the most appropriate option.,SNOMED,"223366009, Healthcare professional (occupation)",,,risk_factor_socio,1,,1,,,
