Disease,Code,Library,Selected,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_H5Nx,preset_Study_Oropouche,Value
Andes virus infection (hantavirus),359761005,SNOMED,,,,,,,1
Argentine haemorrhagic fever (Junin virus),58868000,SNOMED,,,,,,,2
Avian influenza A H7N9/ H5N1/ H5N8/ H7N7 ,NEW CODE (609444009 | Influenza A virus subtype H7N9 (organism) |772827006 | Influenza A virus subtype H5N1 (organism) |715346008 | Influenza A virus subtype H7N7 (organism) |708527000 | Influenza A virus subtype H5N8 (organism) |,,,,,,1.0,,3
Bolivian haemorrhagic fever (Machupo virus),67247008,SNOMED,,,,,,,4
COVID-19 (SARS-CoV-2) ,840539006,SNOMED,,1.0,,,,,5
Crimean Congo haemorrhagic fever (CCHF),43489008,SNOMED,,,,,,,6
Dengue ,38362002,SNOMED,,,1.0,,,,7
Ebola virus disease (EVD),37109004,SNOMED,,,,,,,8
Enterovirus,53648006,SNOMED,,,,,,,9
Exposure to CBRN agent,,,,,,,,,10
Exposure to Harmful Energy,,,,,,,,,11
HSV ,88594005,SNOMED,,,,,,,12
Influenza A H5N1,715346008,SNOMED,,,,,,,13
JE ,52947006,SNOMED,,,,,,,14
Lassa fever,19065005,SNOMED,,,,,,,15
Lujo virus disease,721784007,SNOMED,,,,,,,16
Marburg virus disease (MVD),77503002,SNOMED,,,,,,,17
Middle East respiratory syndrome (MERS),6.51E+11,SNOMED,,,,,,,18
Mpox ,359814004,SNOMED,1.0,,,1.0,,,19
Nipah ,406597005,SNOMED,,,,,,,20
Oropouche,72880002,SNOMED,,,,,,1.0,21
Pneumonic plague (Yersinia pestis),38976008,SNOMED,,,,,,,22
Severe Acute paediatric hepatitis ,37871000 | Acute hepatitis (disorder) |24484000 | Severe (severity modifier) (qualifier value) |255398004 | Childhood (qualifier value) |,SNOMED,,,,,,,23
Severe acute respiratory syndrome (SARS-not COVID-19),398447004,SNOMED,,,,,,,24
Severe fever with thrombocytopaenia syndrome (SFTS),722401001,SNOMED,,,,,,,25
Undefined influenza,155559006,SNOMED,,,,,,,26
