Variable,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
subjid,Numéro d'identification du participant (PIN),,Le numéro d'identification du participant ou PIN est un numéro unique utilisé pour identifier les données du patient (participant).,Écrivez le numéro d’identification du participant (PIN).,,
inclu_disease,Infection suspectée ou confirmée,,Cela fait référence à toute infection suspectée ou confirmée.,"Si plus d’une infection est suspectée, sélectionnez la plus probable et remplissez la section TEST PATHOGÈNE avec confirmation en laboratoire.",,
inclu_reason,L’infection suspectée ou confirmée est-elle la raison de l’admission à l’hôpital ?,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de savoir si une infection suspectée ou confirmée par l'agent pathogène concerné est la raison (l'indication) de l'admission à l'hôpital.,Indiquer « Oui » si l'infection suspectée ou confirmée par l'agent pathogène concerné est la raison (l'indication) de l'hospitalisation. Indiquer « Non » si l'infection suspectée ou confirmée par l'agent pathogène concerné n'est pas la raison (l'indication) de l'hospitalisation.,,
inclu_case,Statut du dossier,"1, Confirmé | 2, Probable | 3, Suspecté | 4, Rejeté | 5, Erreur","Confirmé désigne un cas confirmé en laboratoire et susceptible de répondre aux critères cliniques décrits dans la définition de cas. Probable désigne une maladie cliniquement compatible qui est épidémiologiquement liée à un cas confirmé sans confirmation en laboratoire d'une infection par un agent pathogène d'intérêt. Suspecté désigne une maladie cliniquement compatible sans lien épidémiologique ni confirmation en laboratoire. Rejeté désigne un patient dont le test de laboratoire est négatif et qui ne répond pas aux critères d'un cas suspect, probable ou confirmé.",Sélectionnez l’option la plus appropriée qui représente le statut du dossier.,,
inclu_testreason,Raison pour laquelle le patient a été testé,"1, Symptomatique | 2, Asymptomatique, contact tracing | 3, Asymptomatique, campagne de tests de masse | 4, Non testé",Cela fait référence à la raison pour laquelle le patient a été testé pour le pathogène d’intérêt.,Sélectionnez l’option la plus appropriée qui correspond à la raison pour laquelle le patient a été testé pour le pathogène d’intérêt.,,
inclu_consent,Le participant (ou son représentant) a donné son consentement pour participer à cette étude.,"1, Oui | 0, Non, le participant n'a pas accepté de participer à l'étude | 2, Non, le comité d'éthique a approuvé une renonciation au consentement | 99, Inconnu",Il s’agit de la fourniture d’un consentement éclairé par le patient ou son représentant pour participer à cette étude.,Indiquez « Oui » si le patient ou son représentant a donné son consentement éclairé pour participer à cette étude.,,
inclu_consent_date,Date du consentement,,Ceci fait référence à la date à laquelle le consentement éclairé a été donné pour l’inclusion des participants dans cette étude.,Indiquez la date à laquelle le consentement éclairé a été donné pour l'inclusion des participants dans cette étude. Utilisez le format JJ/MM/AAAA.,,
inclu_consent_who,Consentement fourni par,"1, Participant | 2, Parent/tuteur | 3, Personne consultée | 4, Clinicien indépendant",Ceci fait référence à la personne qui a donné son consentement pour participer à cette étude.,Sélectionnez l’option la plus appropriée qui représente la personne qui a donné son consentement pour participer à cette étude.,,
inclu_consent_whopg,Si le parent/tuteur donne son consentement : l’enfant ou le jeune donne-t-il son assentiment ?,"1, Oui | 0, Non | 2, Incompétent","Il s'agit du consentement donné par un mineur ou un adulte qui n'est pas en mesure de donner son consentement en son nom propre, pour participer à une étude. Le consentement doit être accompagné du consentement d'un parent ou d'un tuteur légal pour une pleine participation à l'étude.",Sélectionnez l’option la plus appropriée qui indique si le consentement a été donné pour participer à cette étude.,,
inclu_consentsec,"Utilisation secondaire des données collectées, le participant a accepté les affirmations suivantes :",,,,,
