Microorganism,Code,Library,Type
Achromobacter,91620006,SNOMED,bacteria
Achromobacter xylosoxidans,413424009,SNOMED,bacteria
Acinetobacter,7757008,SNOMED,bacteria
Acinetobacter anitratus,82550008,SNOMED,bacteria
Acinetobacter baumannii,91288006,SNOMED,bacteria
Acinetobacter calcoaceticus,413398000,SNOMED,bacteria
Acinetobacter calcoaceticus-baumannii complex,113376007,SNOMED,bacteria
Acinetobacter johnsonii,252000,SNOMED,bacteria
Actinomyces israelii,46369004,SNOMED,bacteria
Aeromonas,88529008,SNOMED,bacteria
Aggregatibacter,441718002,SNOMED,bacteria
Anaerobic bacteria,59343002,SNOMED,bacteria
Bacillus,44762009,SNOMED,bacteria
Bacillus anthracis,21927003,SNOMED,bacteria
Bacillus cereus,84408007,SNOMED,bacteria
Bacteroides fragilis,55247009,SNOMED,bacteria
Bacteroides thetaiotaomicron,34236001,SNOMED,bacteria
Bordetella pertussis,5247005,SNOMED,bacteria
Burkholderia,414324002,SNOMED,bacteria
Burkholderia cenocepacia,416941006,SNOMED,bacteria
Burkholderia cepacia,113669008,SNOMED,bacteria
Burkholderia pseudomallei,116399000,SNOMED,bacteria
Campylobacter,35408001,SNOMED,bacteria
Chlamydia,16241000,SNOMED,bacteria
Chlamydophila pneumoniae,103514009,SNOMED,bacteria
Chryseobacterium indologenes,113549008,SNOMED,bacteria
Citrobacter,75972000,SNOMED,bacteria
Citrobacter braakii,114262000,SNOMED,bacteria
Citrobacter freundii,6265002,SNOMED,bacteria
Citrobacter koseri,114264004,SNOMED,bacteria
Clostridium botulinum,13080008,SNOMED,bacteria
Clostridium difficile,5933001,SNOMED,bacteria
Clostridium difficile (toxin positive),736050006,SNOMED,bacteria
Clostridium tetani,30917009,SNOMED,bacteria
Coagulase negative Staphylococcus,116197008,SNOMED,bacteria
Coliform bacteria,77309002,SNOMED,bacteria
Corynebacterium,77086004,SNOMED,bacteria
Corynebacterium amycolatum,113611002,SNOMED,bacteria
Corynebacterium pseudodiphtheriticum,12050008,SNOMED,bacteria
Corynebacterium pseudotuberculosis,55084001,SNOMED,bacteria
Corynebacterium striatum,63815007,SNOMED,bacteria
Corynebacterium ulcerans,103428000,SNOMED,bacteria
Corynebacterium xerosis,27101006,SNOMED,bacteria
Cryptococcus,17579001,SNOMED,bacteria
Cryptococcus neoformans,67168003,SNOMED,bacteria
Delftia,416493002,SNOMED,bacteria
Delftia acidovorans,20432002,SNOMED,bacteria
Dermabacter,413976002,SNOMED,bacteria
Diphtheroid,54642001,SNOMED,bacteria
Eggerthella,414075007,SNOMED,bacteria
Elizabethkingia,426244005,SNOMED,bacteria
Enteric bacteria,106544002,SNOMED,bacteria
Enterobacter,58683007,SNOMED,bacteria
Enterobacter aerogenes,62592009,SNOMED,bacteria
Enterobacter asburiae,33115003,SNOMED,bacteria
Enterobacter bugandensis,1.13611E+14,SNOMED,bacteria
Enterobacter cloacae,14385002,SNOMED,bacteria
Enterobacter cloacae complex,414102007,SNOMED,bacteria
Enterobacter hormaechei,114454006,SNOMED,bacteria
Enterobacter kobei,114456008,SNOMED,bacteria
Enterobacteriaceae,106544002,SNOMED,bacteria
Enterococcus,2785000,SNOMED,bacteria
Enterococcus avium,87875008,SNOMED,bacteria
Enterococcus faecalis,78065002,SNOMED,bacteria
Enterococcus faecium,90272000,SNOMED,bacteria
Enterococcus raffinosus,103437000,SNOMED,bacteria
Escherichia,64735005,SNOMED,bacteria
Escherichia coli,112283007,SNOMED,bacteria
Francisella tularensis,51526001,SNOMED,bacteria
Fusobacterium nucleatum,32763000,SNOMED,bacteria
Gram-Negative Bacillus,87172008,SNOMED,bacteria
Gram-Positive Bacillus,83514008,SNOMED,bacteria
Gram-Positive Coccus,59206002,SNOMED,bacteria
Granulicatella adiacens,113713009,SNOMED,bacteria
Haemophilus,71268004,SNOMED,bacteria
Haemophilus ducreyi,64889004,SNOMED,bacteria
Haemophilus influenzae,44470000,SNOMED,bacteria
Haemophilus parainfluenzae,51593004,SNOMED,bacteria
Hafnia alvei,76694001,SNOMED,bacteria
Helicobacter pylori,80774000,SNOMED,bacteria
Klebsiella,75032006,SNOMED,bacteria
Klebsiella aerogenes,62592009,SNOMED,bacteria
Klebsiella oxytoca,40886007,SNOMED,bacteria
Klebsiella pneumoniae,56415008,SNOMED,bacteria
"Klebsiella pneumoniae, ESBL",409801009,SNOMED,bacteria
Klebsiella variicola,431976004,SNOMED,bacteria
Lacticaseibacillus rhamnosus,113798001,SNOMED,bacteria
Legionella,7527002,SNOMED,bacteria
Legionella pneumophila,80897008,SNOMED,bacteria
Leptospira interrogans,116401006,SNOMED,bacteria
Listeria monocytogenes,36094007,SNOMED,bacteria
Methicillin resistant Staphylococcus aureus (MRSA),115329001,SNOMED,bacteria
Methicillin susceptible Staphylococcus aureus (MSSA),417943000,SNOMED,bacteria
Micrococcus,52864008,SNOMED,bacteria
Micrococcus luteus,48299003,SNOMED,bacteria
Mirabilis,79589007,SNOMED,bacteria
Moraxella,36361003,SNOMED,bacteria
Moraxella catarrhalis,24226003,SNOMED,bacteria
Morganella,50713005,SNOMED,bacteria
Morganella morganii,243301005,SNOMED,bacteria
Mycobacterium,243368001,SNOMED,bacteria
Mycobacterium leprae,58242002,SNOMED,bacteria
"Mycobacterium, non-tuberculosis",110379001,SNOMED,bacteria
Mycobacterium tuberculosis,113861009,SNOMED,bacteria
Mycoplasma agalactiae,16377009,SNOMED,bacteria
Mycoplasma pneumoniae,58720004,SNOMED,bacteria
Neisseria meningitidis,17872004,SNOMED,bacteria
Nocardia asteroides,30092002,SNOMED,bacteria
Nocardia brasiliensis,58970008,SNOMED,bacteria
