Condition,Code,Library,Value
 Acute Respiratory Distress Syndrome (ARDS)    ,67782005.0,SNOMED,1
 Bacteremia                                    ,5758002.0,SNOMED,2
 Myocardial Infarction                         ,22298006.0,SNOMED,3
 Neurological finding                          ,102957003.0,SNOMED,4
 Pneumonia                                     ,233604007.0,SNOMED,5
 Pulmonary Embolism                            ,59282003.0,SNOMED,6
 Septic Shock                                  ,76571007.0,SNOMED,7
Acquired coagulation disorder,234466008.0,SNOMED,8
Acute renal failure syndrome,14669001.0,SNOMED,9
Bleeding                                      ,131148009.0,SNOMED,10
Cardiac Arrest                                ,410429000.0,SNOMED,11
Cardioembolic stroke,413758000.0,SNOMED,12
Cardiogenic Shock                             ,89138009.0,SNOMED,13
Cerebellar stroke,1.63717810001191e+16,SNOMED,14
Decompensation,87228002.0,SNOMED,15
Deep venous thrombosis,128053003.0,SNOMED,16
Disseminated Intravascular Coagulation (DIC)  ,67406007.0,SNOMED,17
Empyema                                       ,312682007.0,SNOMED,18
Encephalitis                                  ,45170000.0,SNOMED,19
Haemorrhagic stroke,1078001000000100.0,SNOMED,20
Hospital acquired pneumonia,425464007.0,SNOMED,21
Ischemic encephalopathy,389100007.0,SNOMED,22
Ischemic stroke,422504002.0,SNOMED,23
Large liver,80515008.0,SNOMED,24
Meningitis                                    ,7180009.0,SNOMED,25
Multisystem inflammatory syndrome in adults,1119306006.0,SNOMED,26
Multisystem inflammatory syndrome in children,895448002.0,SNOMED,27
Pneumothorax                                  ,36118008.0,SNOMED,28
Recurrent gastrointestinal bleeding,307296008.0,SNOMED,29
Recurrent urinary tract infection,197927001.0,SNOMED,30
Sepsis                                        ,91302008.0,SNOMED,31
Thrombotic stroke,371040005.0,SNOMED,32
Transient cerebral ischemia,266257000.0,SNOMED,33
Transient hypotension,94501000000000.0,SNOMED,34
Ventilator-Associated Pneumonia               ,429271009.0,SNOMED,35
