Disease,Code,Library,Selected,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_UserGenerated_Oropouche,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype CRF_ARI,Value
Adenovirus,,,,,,,1.0,,,,1.0,1
Andes virus infection (hantavirus),359761005,SNOMED,,,,,,,1.0,,,2
Argentine haemorrhagic fever (Junin virus),58868000,SNOMED,,,,,,,1.0,,,3
Avian influenza A H7N9/ H5N1/ H5N8/ H7N7 ,NEW CODE (609444009 | Influenza A virus subtype H7N9 (organism) |772827006 | Influenza A virus subtype H5N1 (organism) |715346008 | Influenza A virus subtype H7N7 (organism) |708527000 | Influenza A virus subtype H5N8 (organism) |,,,,,,1.0,,,,1.0,4
Bacterial infection,87628006,SNOMED,,,,,,,,,,5
Bolivian haemorrhagic fever (Machupo virus),67247008,SNOMED,,,,,,,1.0,,,6
COVID-19 (SARS-CoV-2) ,840539006,SNOMED,,1.0,,,1.0,,,,1.0,7
Chickenpox (Varicella),58750007,SNOMED,,,,1.0,,,,1.0,,8
Crimean Congo haemorrhagic fever (CCHF),43489008,SNOMED,,,,,,,1.0,,,9
Dengue ,38362002,SNOMED,,,1.0,,,,1.0,,,10
Ebola virus disease (EVD),37109004,SNOMED,,,,,,,1.0,,,11
Enterovirus,53648006,SNOMED,,,,,,,,,,12
Exposure to CBRN agent,,,,,,,,,,,,13
Exposure to Harmful Energy,,,,,,,,,,,,14
HSV ,88594005,SNOMED,,,,,,,,,,15
"Hepatitis (general, unspecified)",40468003,SNOMED,,,1.0,,,,,,,16
Herpes simplex virus infection (HSV),88594005,SNOMED,,,,1.0,,,,1.0,,17
Human immunodeficiency virus infection (HIV infection),86406008,SNOMED,,,,1.0,,,,1.0,,18
Influenza A H5N1,715346008,SNOMED,,,,,,,,,1.0,19
JE ,52947006,SNOMED,,,,,,,,,,20
Lassa fever,19065005,SNOMED,,,,,,,1.0,,,21
Lujo virus disease,721784007,SNOMED,,,,,,,1.0,,,22
Marburg virus disease (MVD),77503002,SNOMED,,,,,,,1.0,,,23
Measles,14189004,SNOMED,,,,,,,,,,24
Middle East respiratory syndrome (MERS),6.51E+11,SNOMED,,,,,,,,,,25
Mpox ,359814004,SNOMED,1.0,,,1.0,,,,1.0,,26
Nipah ,406597005,SNOMED,,,,,,,,,,27
Oropouche,72880002,SNOMED,,,,,,1.0,,,,28
Pneumonic plague (Yersinia pestis),38976008,SNOMED,,,,,,,,,,29
Resistance to oseltamivir (Tamiflu),441734008,SNOMED,,,,,,,,,1.0,30
Respiratory syncytial virus infection (RSV),55256001,SNOMED,,,,,,,,,1.0,31
Severe Acute paediatric hepatitis ,37871000 | Acute hepatitis (disorder) |24484000 | Severe (severity modifier) (qualifier value) |255398004 | Childhood (qualifier value) |,SNOMED,,,,,,,,,,32
Severe acute respiratory syndrome (SARS-not COVID-19),398447004,SNOMED,,,,,,,,,1.0,33
Severe fever with thrombocytopaenia syndrome (SFTS),722401001,SNOMED,,,,,,,,,,34
Undefined influenza,155559006,SNOMED,,,,,,,,,1.0,35
