Microorganism,Code,Library,Type,Selected,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment,Value
Achromobacter,91620006.0,SNOMED,bacteria,,,,,,,,,1
Achromobacter xylosoxidans,413424009.0,SNOMED,bacteria,,,,,,,,,2
Acinetobacter,7757008.0,SNOMED,bacteria,,,,,,,,,3
Acinetobacter anitratus,82550008.0,SNOMED,bacteria,,,,,,,,,4
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,,,,,,,,,5
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,,,,,,,,,6
Acinetobacter calcoaceticus-baumannii complex,113376007.0,SNOMED,bacteria,,,,,,,,,7
Acinetobacter johnsonii,252000.0,SNOMED,bacteria,,,,,,,,,8
Acremonium,63996006.0,SNOMED,fungi,,,,,,,,,9
Actinomyces israelii,46369004.0,SNOMED,bacteria,,,,,,,,,10
Adenoviridae,424470006.0,SNOMED,virus,,,,,,,1.0,,11
Aeromonas,88529008.0,SNOMED,bacteria,,,,,,,,,12
Aggregatibacter,441718002.0,SNOMED,bacteria,,,,,,,,,13
Anaerobic bacteria,59343002.0,SNOMED,bacteria,,,,,,,,,14
Ancylostoma duodenale,81559006.0,SNOMED,"parasite, helminth",,,,,,,,,15
Andes orthohantavirus,442001008.0,SNOMED,virus,,,,,,,,,16
Arenaviridae,243624009.0,SNOMED,virus,,,,,,,,,17
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",,,,,,,,,18
Aspergillus,2429008.0,SNOMED,fungi,,,,,,,,,19
Aspergillus flavus,66821001.0,SNOMED,fungi,,,,,,,,,20
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,,,,,,,,21
Aspergillus fumigatus complex,719029007.0,SNOMED,fungi,,,,,,,,,22
Aspergillus niger,89354002.0,SNOMED,fungi,,,,,,,,,23
Aspergillus terreus,26406003.0,SNOMED,fungi,,,,,,,,,24
Aspergillus versicolor,48315007.0,SNOMED,fungi,,,,,,,,,25
Astroviridae,424055004.0,SNOMED,virus,,,,,,,,,26
Avian Influenza A H5N1,772827006.0,SNOMED,virus,1.0,,,,1.0,,,,27
Avian Influenza A H7N9,609444009.0,SNOMED,virus,1.0,,,,1.0,,,,28
Bacillus,44762009.0,SNOMED,bacteria,,,,,,,,,29
Bacillus anthracis,21927003.0,SNOMED,bacteria,,,,,,,,,30
Bacillus cereus,84408007.0,SNOMED,bacteria,,,,,,,,,31
Bacteroides fragilis,55247009.0,SNOMED,bacteria,,,,,,,,,32
