Microorganism,Code,Library,Type,Value
Achromobacter,91620006.0,SNOMED,bacteria,1
Achromobacter xylosoxidans,413424009.0,SNOMED,bacteria,2
Acinetobacter,7757008.0,SNOMED,bacteria,3
Acinetobacter anitratus,82550008.0,SNOMED,bacteria,4
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,5
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,6
Acinetobacter calcoaceticus-baumannii complex,113376007.0,SNOMED,bacteria,7
Acinetobacter johnsonii,252000.0,SNOMED,bacteria,8
Actinomyces israelii,46369004.0,SNOMED,bacteria,9
Aeromonas,88529008.0,SNOMED,bacteria,10
Aggregatibacter,441718002.0,SNOMED,bacteria,11
Anaerobic bacteria,59343002.0,SNOMED,bacteria,12
Bacillus,44762009.0,SNOMED,bacteria,13
Bacillus anthracis,21927003.0,SNOMED,bacteria,14
Bacillus cereus,84408007.0,SNOMED,bacteria,15
Bacteroides fragilis,55247009.0,SNOMED,bacteria,16
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,17
Bordetella pertussis,5247005.0,SNOMED,bacteria,18
Burkholderia,414324002.0,SNOMED,bacteria,19
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,20
Burkholderia cepacia,113669008.0,SNOMED,bacteria,21
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,22
Campylobacter,35408001.0,SNOMED,bacteria,23
Chlamydia,16241000.0,SNOMED,bacteria,24
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,25
Chryseobacterium indologenes,113549008.0,SNOMED,bacteria,26
Citrobacter,75972000.0,SNOMED,bacteria,27
Citrobacter braakii,114262000.0,SNOMED,bacteria,28
Citrobacter freundii,6265002.0,SNOMED,bacteria,29
Citrobacter koseri,114264004.0,SNOMED,bacteria,30
Clostridium botulinum,13080008.0,SNOMED,bacteria,31
Clostridium difficile,5933001.0,SNOMED,bacteria,32
Clostridium difficile (toxin positive),736050006.0,SNOMED,bacteria,33
Clostridium tetani,30917009.0,SNOMED,bacteria,34
Coagulase negative Staphylococcus,116197008.0,SNOMED,bacteria,35
Coliform bacteria,77309002.0,SNOMED,bacteria,36
Corynebacterium,77086004.0,SNOMED,bacteria,37
Corynebacterium amycolatum,113611002.0,SNOMED,bacteria,38
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,39
Corynebacterium pseudotuberculosis,55084001.0,SNOMED,bacteria,40
Corynebacterium striatum,63815007.0,SNOMED,bacteria,41
Corynebacterium ulcerans,103428000.0,SNOMED,bacteria,42
Corynebacterium xerosis,27101006.0,SNOMED,bacteria,43
Cryptococcus,17579001.0,SNOMED,bacteria,44
