IV fluids, Code    , Library ,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_UserGenerated_Oropouche,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment
0.9% Sodium Chloride (Normal Saline),,,,,,1,,,1,1,,
Lactated Ringer’s (USP),,,,,,1,,,1,1,,
0.45% Sodium Chloride (Half-normal saline),,,,,,1,,,1,1,,
0.45% normal saline + 4% Glucose (Half-normal saline with dextrose),,,,,,1,,,1,1,,
0.18%-0.3% Sodium Chloride + 4% Glucose (Hypotonic saline with dextrose) ,,,,,,1,,,1,1,,
5% Glucose (Dextrose 5% in Water),,,,,,1,,,1,1,,
Ringer’s acetate,,,,,,1,,,1,1,,
Plasmalyte,,,,,,1,,,1,1,,
Gelatins,,,,,,1,,,1,1,,
Starches,,,,,,1,,,1,1,,
Albumin,,,,,,1,,,1,1,,
