Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Comment,Value
Aminophylline (Truphylline)                              , R03DA05   , ATC     ,,,,,,,,,,1
"Beclometasone (Qvar, Beconase AQ)                        ", R03BA01   , ATC     ,,,,,,,,,,2
Caspofungin (Cancidas)                                   , J02AX04   , ATC     ,,,,,,,,,,3
Chloroquine (Aralen)                                     , P01BA01   , ATC     ,,,1.0,,,,,1.0,,4
"Clobetasol (Temovate, Olux, Impoyz)                 ",D07AD01,ATC,,,,,,,,,Topical,5
Fluconazole (Diflucan)                                   , J02AC01   , ATC     ,,,,,,,,,,6
"Fluticasone (Flovent, Flonase)                           ", R03BA05   , ATC     ,,,,,,,,,,7
Fluticasone furoate, R03BA09, ATC     ,,,,,,,,,,8
"Formoterol (Foradil, Perforomist)                        ", R03AC13, ATC     ,,,,,,,,,,9
Formoterol and Beclometasone (Fostair)                   , R03AK11   , ATC     ,,,,,,,,,,10
Formoterol and Budesonide (Symbicort)                    , R03AK07   , ATC     ,,,,,,,,,,11
Glycopyrronium Bromide (Seebri)                          , R03BB06   , ATC     ,,,,,,,,,,12
Hydroxychloroquine (Plaquenil)                           , P01BA02   , ATC     ,,,,,,,,,,13
"Imiquimod (Aldara, Zyclara)",D06BB10  ,ATC,,,,,,,,,Topical/Locally acting,14
Indacaterol and Glycopyrronium Bromide (Ultibro Breezhaler), R03AL04, ATC     ,,,,,,,,,,15
Interferon Alpha                                         , L03AB01 , ATC     ,,,1.0,,,,,1.0,,16
Interferon Beta                                          , L03AB02 , ATC     ,,,1.0,,,,,1.0,,17
Ipratropium Bromide (Atrovent)                           , R03BB01   , ATC     ,,,,,,,,,,18
Ivermectin (Stromectol)                                  , P02CF01   , ATC     ,,,,,,,,,,19
Mafenide (Sulfamylon),D06BA03,ATC,,,,,,,,,Topical,20
"Mometasone (Asmanex, Nasonex)", R03BA07, ATC     ,,,,,,,,,,21
Montelukast (Singulair)                                  , R03DC03   , ATC     ,,,,,,,,,,22
Mupirocin (Bactroban),D06AX09,ATC,,,,,,,,,Topical/Locally acting,23
"Nystatin (Bio-statin, Nyamyc)",A02AA01,ATC,,,,,,,,,Locally acting,24
"Podophyllotoxin (Podofilox, Condylox)",D06BB04 ,ATC,,,,,,,,,Topical,25
Primaquine                                               , P01BA03   , ATC     ,,,,,,,,,,26
"Salbutamol (Ventolin, Proventil)                         ", R03AC02   , ATC     ,,,,,,,,,,27
Salmeterol (Serevent)                                    , R03AC12   , ATC     ,1.0,,,,,,,,,28
"Salmeterol and Fluticasone (Advair, Seretide)            ", R03AK06   , ATC     ,,,,,,,,,,29
"Sulphur, precipitated in petrolatum",D10AB02,ATC,,,,,,,,,Topical,30
"Theophylline (Theo-24, Elixophyllin)                     ", R03DA04   , ATC     ,,,,,,,,,,31
Tiotropium Bromide (Spiriva)                             , R03BB04   , ATC     ,,,,,,,,,,32
Trichloroacetic acid,78151001,SNOMED,,,,,,,,,Topical,33
Vilanterol and Fluticasone Furoate (Breo Ellipta)        , R03AK10   , ATC     ,,,,,,,,,,34
Vilanterol and Umeclidinium Bromide (Anoro Ellipta)      ,R03AL03, ATC     ,1.0,,,,,,,,,35
