Site,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics+extended,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_UserGenerated_Oropouche,preset_Score_CharlsonCI,preset_Module_Pregmpoxnompox,preset_Module_Pregnancy,preset_Module_Neonates,preset_Module_Paediatric,preset_Module_ExtendedMpoxPregnan,preset_Recommended Outcomes_Dengue,preset_Hospitalsed Outcomes_Dengue,preset_Early Stage Outcomes_Dengue
Skin ,,,,1,1,1,1,1,1,1,1,,,,,,,1,1,1
Petechiae ,,,,1,1,1,1,1,1,1,1,,,,,,,1,1,1
Nose ,,,,1,1,1,1,1,1,1,1,,,,,,,1,1,1
Gums ,,,,1,1,1,1,1,1,1,1,,,,,,,1,1,1
GI tract ,,,,1,1,1,1,1,1,1,1,,,,,,,1,1,1
Urinary tract,,,,1,1,1,1,1,1,1,1,,,,,,,1,1,1
Vagina ,,,,1,1,1,1,1,1,1,1,,,,,,,1,1,1
Intracranial ,,,,,,,,,,,,,,,,,,1,1,1
Intraspinal ,,,,,,,,,,,,,,,,,,1,1,1
Intraocular ,,,,,,,,,,,,,,,,,,1,1,1
Retroperitoneal ,,,,,,,,,,,,,,,,,,1,1,1
Intra-articular ,,,,,,,,,,,,,,,,,,1,1,1
Pericardial ,,,,,,,,,,,,,,,,,,1,1,1
Intramuscular (with compartment syndrome) ,,,,,,,,,,,,,,,,,,1,1,1
