Drugs (Generic),Code,Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Comment,Value
"Amikacin (Amikin, Biodacin, Miacin)           ",J01GB06 ,ATC     ,1,,,,,,,,,,1
"Amoxicillin (Amoxil, Moxatag, Trimox)         ",J01CA04 ,ATC     ,1,1.0,1.0,,,,1.0,,,,2
"Amoxicillin/Beta-lactamase inhibitor (Amoxicillin/Clavulanate, Amoxicillin and clavulanic acid, Augmentin,  Amoxyclav, Co-amoxiclav)",J01CR02 ,ATC     ,1,1.0,1.0,,,,1.0,,,,3
"Amphotericin (Amphotericin B, Amphocin, Fungizone, Fungilin)  ",J02AA01 ,ATC     , ,,,,,,,,,,4
Ampicillin (Polyflex),J01CA01,ATC,1,,,,,,,,,,5
"Ampicillin/Beta-lactamase inhibitor (Ampicillin/Sulbactam, Sulacillin, Unasyn)",J01CR01 ,ATC     ,1,,,,,,,,,,6
"Atovaquone (Mepron, Wellvone)                      ",P01AX06,ATC,2,,,,,,,,,,7
"Azithromycin (Sumamed, Zithromax, Zmax)       ",J01FA10,ATC     ,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,8
"Aztreonam (Azactam, Cayston, Primbactam)",J01DF01,ATC,2,,,,,,,,,,9
"Bacampicillin (Penglobe, Spectrobid)",J01CA06,ATC,2,,,,,,,,,,10
Bacitracin (Baciguent),J01XX10,ATC,2,,,,,,,,,,11
Benzathine phenoxymethylpenicillin (Penicillin V),J01CE10,ATC,,,,,,,,,,,12
"Benzylpenicillin (Penicillin G, Bactracillin G, )",J01CE01,ATC     ,1,,,,,,,,,,13
Capreomycin (Capastat),J04AB30,ATC,2,,,,,,,,,,14
"Carbenicillin indanyl sodium (Anabactyl, Carbapen, Carindacillin, Pyopen)",J01CA05 ,ATC,2,,,,,,,,,,15
Caspofungin (Cancidas)                        ,J02AX04,ATC, ,,,,,,,,,,16
"Cefaclor (Biocef, Ceclor, Raniclor)",J01DC04,ATC,2,,,,,,,,,,17
Cefadroxil (Duricef),J01DB05,ATC,2,,,,,,,,,,18
"Cefalexin (Cephalexin, Keflex, Daxbia)                        ",J01DB01,ATC,1,,,,,,,,,,19
Cefamandole (Mandol),J01DC03,ATC,2,,,,,,,,,,20
"Cefazolin (Ancef, Kefzol)                          ",J01DB04,ATC,1,,,,,,,,,,21
"Cefdinir (Cefzon, Omnicef)",J01DD15,ATC,2,,,,,,,,,,22
Cefditoren (Spectracef),J01DD16,ATC,2,,,,,,,,,,23
Cefepime (Maxipime),J01DE01,ATC,1,,,,,,,,,,24
Cefixime (Suprax),J01DD08,ATC,2,,,,,,,,,,25
Cefmetazole (Zefazone),J01DC09,ATC,2,,,,,,,,,,26
Cefoperazone (Cefobid),J01DD12,ATC, ,,,,,,,,,,27
Cefotaxime (Claforan),J01DD01,ATC,1,1.0,,,,,,,,,28
Cefotetan (Cefotan),J01DC05,ATC,2,,,,,,,,,,29
"Cefoxitin (Mefoxin, Renoxitin)",J01DC01,ATC,2,,,,,,,,,,30
Cefpodoxime Proxetil (Vantin),J01DD13  ,ATC,2,,,,,,,,,,31
"Cefprozil (Cefproxil, Cefproz, Cefzil)",J01DC10,ATC,2,,,,,,,,,,32
"Ceftaroline Fosamil (Teflaro, Zinforo)",J01DI02  ,ATC,1,,,,,,,,,,33
"Ceftazidime (Fortaz, Tazicef)                 ",J01DD02 ,ATC,1,1.0,,,,,,,,,34
"Ceftazidime/beta-lactamase inhibitor (ceftazidime/avibactam, Avycaz, Zavicefta)",J01DD52,ATC,,1.0,,,,,,,,,35
Ceftibuten (Cedax),J01DD14,ATC,2,,,,,,,,,,36
Ceftizoxime (Cefizox),J01DD07,ATC, ,,,,,,,,,,37
Ceftobiprole Medocaril (Zeftera),J01DI01 ,ATC,1,,,,,,,,,,38
"Ceftriaxone (Rocephin, Wintriaxone)                  ",J01DD04 ,ATC,1,1.0,1.0,1.0,,1.0,1.0,1.0,,,39
"Cefuroxime (Ceftin, Zinacef)                       ",J01DC02,ATC,1,1.0,,,,,,,,,40
"Cephalexin (Cefalexin, Keflex, Daxbia)",J01DB01  ,ATC,2,,,,,,,,,,41
"Cephalothin (Cefalotin, ",J01DB03  ,ATC,2,,,,,,,,,,42
"Cephapirin (Cefapirin, ",J01DB08,ATC,2,,,,,,,,,,43
"Cephradine (Cefradine, Velosef)",J01DB09,ATC,2,,,,,,,,,,44
"Chloramphenicol (Chloromycetin, Viceton)",J01BA01,ATC, ,1.0,,,,,,,,,45
Cinoxacin (Cinobac),J01MB06,ATC,2,,,,,,,,,,46
"Ciprofloxacin (Cetraxal, Cipro, Ciloxan, Proquin)",J01MA02,ATC,1,,,,,,,,,,47
"Clarithromycin (Biaxin, Klacid)",J01FA09,ATC,1,1.0,,,,,,,,,48
"Clindamycin (Cleocin, Dalacin)",J01FF01,ATC,1,,,,,,,,,,49
"Cloxacillin (Tegopen, Cloxapen)",J01CF02,ATC, ,,,,,,,,,,50
"Colistin (Colistimethate, Coly Mycin M, Colobreathe, Xylistin)",J01XB01,ATC, ,,,,,,,,,,51
Cycloserine (Seromycin),J04AB01,ATC,2,,,,,,,,,,52
"Daptomycin (Dapzura, Cubicin)",J01XX09 ,ATC, ,,,,,,,,,,53
Demeclocycline (Declomycin),J01AA01,ATC,2,,,,,,,,,,54
"Dicloxacillin (Diclocil, Dycill, Dynapen)",J01CF01,ATC,2,,,,,,,,,,55
Dirithromycin (Dynabac),J01FA13  ,ATC,2,,,,,,,,,,56
"Doripenem (Doribax, Finibax)",J01DH04  ,ATC,2,,,,,,,,,,57
"Doxycycline (Vibramycin, Oracea, Monodox)",J01AA02,ATC,1,1.0,1.0,,1.0,,,,1.0,,58
Enoxacin,J01MA04,ATC,2,,,,,,,,,,59
Ertapenem (Invanz)                            ,J01DH03,ATC,1,,,,,,,,,,60
"Erythromycin (Eryc, Erythrocin)               ",J01FA01,ATC,1,1.0,,,,,,,,,61
Ethambutol,J04AK02,ATC,,,,,,,,,,,62
"Flucloxacillin (Floxapen, Fluclox)                 ",J01CF05  ,ATC,1,,,,,,,,,,63
Fluconazole (Diflucan)                        ,J02AC01 ,ATC,1,,,,,,,,,,64
Fosfomycin (Monurol)                               ,J01XX01 ,ATC,1,,,,,,,,,,65
Fusidic acid,J01XC01,ATC,,,,,,,,,,,66
Gatifloxacin (Tequin)                         ,J01MA16,ATC, ,,,,,,,,,,67
Gemifloxacin (Factive),J01MA15,ATC,2,,,,,,,,,,68
"Gentamicin (Garamycin, Gentak, Genoptic)      ",J01GB03,ATC,1,,,,,,,,,,69
Grepafloxacin,J01MA11,ATC,2,,,,,,,,,,70
Imipenem/Cilastatin (Primaxin)                ,J01DH51,ATC,1,,,,,,,,,,71
"Isoniazid (Nydrazid, Laniazid)                     ",J04AC01,ATC,1,,,,,,,,,,72
Kanamycin (Kantrex),J01GB04 ,ATC, ,,,,,,,,,,73
