Country,Region,Income group,Code,Selected,Value
Aruba,Latin America & Caribbean,High income,ABW,,1
Afghanistan,South Asia,Low income,AFG,,2
Angola,Sub-Saharan Africa,Lower middle income,AGO,,3
Albania,Europe & Central Asia,Upper middle income,ALB,,4
Andorra,Europe & Central Asia,High income,AND,,5
United Arab Emirates,Middle East & North Africa,High income,ARE,,6
Argentina,Latin America & Caribbean,Upper middle income,ARG,,7
Armenia,Europe & Central Asia,Upper middle income,ARM,,8
American Samoa,East Asia & Pacific,High income,ASM,,9
Antigua and Barbuda,Latin America & Caribbean,High income,ATG,,10
Australia,East Asia & Pacific,High income,AUS,,11
Austria,Europe & Central Asia,High income,AUT,,12
Azerbaijan,Europe & Central Asia,Upper middle income,AZE,,13
Burundi,Sub-Saharan Africa,Low income,BDI,,14
Belgium,Europe & Central Asia,High income,BEL,,15
Benin,Sub-Saharan Africa,Lower middle income,BEN,,16
Burkina Faso,Sub-Saharan Africa,Low income,BFA,,17
Bangladesh,South Asia,Lower middle income,BGD,,18
Bulgaria,Europe & Central Asia,Upper middle income,BGR,,19
Bahrain,Middle East & North Africa,High income,BHR,,20
"Bahamas, The",Latin America & Caribbean,High income,BHS,,21
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,BIH,,22
Belarus,Europe & Central Asia,Upper middle income,BLR,,23
Belize,Latin America & Caribbean,Upper middle income,BLZ,,24
Bermuda,North America,High income,BMU,,25
Bolivia,Latin America & Caribbean,Lower middle income,BOL,,26
Brazil,Latin America & Caribbean,Upper middle income,BRA,,27
Barbados,Latin America & Caribbean,High income,BRB,,28
Brunei Darussalam,East Asia & Pacific,High income,BRN,,29
Bhutan,South Asia,Lower middle income,BTN,,30
Botswana,Sub-Saharan Africa,Upper middle income,BWA,,31
Central African Republic,Sub-Saharan Africa,Low income,CAF,,32
Canada,North America,High income,CAN,,33
Switzerland,Europe & Central Asia,High income,CHE,,34
Channel Islands,Europe & Central Asia,High income,CHI,,35
Chile,Latin America & Caribbean,High income,CHL,,36
China,East Asia & Pacific,Upper middle income,CHN,,37
Côte d’Ivoire,Sub-Saharan Africa,Lower middle income,CIV,,38
Cameroon,Sub-Saharan Africa,Lower middle income,CMR,,39
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,COD,,40
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,COG,,41
Colombia,Latin America & Caribbean,Upper middle income,COL,,42
Comoros,Sub-Saharan Africa,Lower middle income,COM,,43
Cabo Verde,Sub-Saharan Africa,Lower middle income,CPV,,44
Costa Rica,Latin America & Caribbean,Upper middle income,CRI,,45
Cuba,Latin America & Caribbean,Upper middle income,CUB,,46
Curaçao,Latin America & Caribbean,High income,CUW,,47
Cayman Islands,Latin America & Caribbean,High income,CYM,,48
Cyprus,Europe & Central Asia,High income,CYP,,49
Czechia,Europe & Central Asia,High income,CZE,,50
Germany,Europe & Central Asia,High income,DEU,,51
Djibouti,Middle East & North Africa,Lower middle income,DJI,,52
Dominica,Latin America & Caribbean,Upper middle income,DMA,,53
Denmark,Europe & Central Asia,High income,DNK,,54
Dominican Republic,Latin America & Caribbean,Upper middle income,DOM,,55
Algeria,Middle East & North Africa,Lower middle income,DZA,,56
Ecuador,Latin America & Caribbean,Upper middle income,ECU,,57
"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,EGY,,58
Eritrea,Sub-Saharan Africa,Low income,ERI,,59
Spain,Europe & Central Asia,High income,ESP,,60
Estonia,Europe & Central Asia,High income,EST,,61
Ethiopia,Sub-Saharan Africa,Low income,ETH,,62
Finland,Europe & Central Asia,High income,FIN,,63
Fiji,East Asia & Pacific,Upper middle income,FJI,,64
France,Europe & Central Asia,High income,FRA,,65
Faroe Islands,Europe & Central Asia,High income,FRO,,66
"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,FSM,,67
Gabon,Sub-Saharan Africa,Upper middle income,GAB,,68
United Kingdom,Europe & Central Asia,High income,GBR,,69
Georgia,Europe & Central Asia,Upper middle income,GEO,,70
Ghana,Sub-Saharan Africa,Lower middle income,GHA,,71
Gibraltar,Europe & Central Asia,High income,GIB,,72
Guinea,Sub-Saharan Africa,Lower middle income,GIN,,73
"Gambia, The",Sub-Saharan Africa,Low income,GMB,,74
Guinea-Bissau,Sub-Saharan Africa,Low income,GNB,,75
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,GNQ,,76
Greece,Europe & Central Asia,High income,GRC,,77
Grenada,Latin America & Caribbean,Upper middle income,GRD,,78
Greenland,Europe & Central Asia,High income,GRL,,79
Guatemala,Latin America & Caribbean,Upper middle income,GTM,,80
Guam,East Asia & Pacific,High income,GUM,,81
Guyana,Latin America & Caribbean,High income,GUY,,82
"Hong Kong SAR, China",East Asia & Pacific,High income,HKG,,83
Honduras,Latin America & Caribbean,Lower middle income,HND,,84
Croatia,Europe & Central Asia,High income,HRV,,85
Haiti,Latin America & Caribbean,Lower middle income,HTI,,86
Hungary,Europe & Central Asia,High income,HUN,,87
Indonesia,East Asia & Pacific,Upper middle income,IDN,,89
Isle of Man,Europe & Central Asia,High income,IMN,,90
India,South Asia,Lower middle income,IND,,91
Ireland,Europe & Central Asia,High income,IRL,,92
"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,IRN,,93
Iraq,Middle East & North Africa,Upper middle income,IRQ,,94
Iceland,Europe & Central Asia,High income,ISL,,95
Israel,Middle East & North Africa,High income,ISR,,96
Italy,Europe & Central Asia,High income,ITA,,97
Jamaica,Latin America & Caribbean,Upper middle income,JAM,,98
Jordan,Middle East & North Africa,Lower middle income,JOR,,100
Japan,East Asia & Pacific,High income,JPN,,101
Kazakhstan,Europe & Central Asia,Upper middle income,KAZ,,102
Kenya,Sub-Saharan Africa,Lower middle income,KEN,,103
Kyrgyz Republic,Europe & Central Asia,Lower middle income,KGZ,,104
Cambodia,East Asia & Pacific,Lower middle income,KHM,,105
Kiribati,East Asia & Pacific,Lower middle income,KIR,,106
St. Kitts and Nevis,Latin America & Caribbean,High income,KNA,,107
"Korea, Rep.",East Asia & Pacific,High income,KOR,,108
Kuwait,Middle East & North Africa,High income,KWT,,109
Lao PDR,East Asia & Pacific,Lower middle income,LAO,,110
Lebanon,Middle East & North Africa,Lower middle income,LBN,,111
Liberia,Sub-Saharan Africa,Low income,LBR,,112
Libya,Middle East & North Africa,Upper middle income,LBY,,113
St. Lucia,Latin America & Caribbean,Upper middle income,LCA,,114
Liechtenstein,Europe & Central Asia,High income,LIE,,115
Sri Lanka,South Asia,Lower middle income,LKA,,116
Lesotho,Sub-Saharan Africa,Lower middle income,LSO,,117
Lithuania,Europe & Central Asia,High income,LTU,,118
Luxembourg,Europe & Central Asia,High income,LUX,,119
Latvia,Europe & Central Asia,High income,LVA,,120
"Macao SAR, China",East Asia & Pacific,High income,MAC,,121
St. Martin (French part),Latin America & Caribbean,High income,MAF,,122
Morocco,Middle East & North Africa,Lower middle income,MAR,,123
Monaco,Europe & Central Asia,High income,MCO,,124
Moldova,Europe & Central Asia,Upper middle income,MDA,,125
Madagascar,Sub-Saharan Africa,Low income,MDG,,126
Maldives,South Asia,Upper middle income,MDV,,127
Mexico,Latin America & Caribbean,Upper middle income,MEX,,128
Marshall Islands,East Asia & Pacific,Upper middle income,MHL,,129
North Macedonia,Europe & Central Asia,Upper middle income,MKD,,130
Mali,Sub-Saharan Africa,Low income,MLI,,131
Malta,Middle East & North Africa,High income,MLT,,132
Myanmar,East Asia & Pacific,Lower middle income,MMR,,133
Montenegro,Europe & Central Asia,Upper middle income,MNE,,134
Mongolia,East Asia & Pacific,Lower middle income,MNG,,135
Northern Mariana Islands,East Asia & Pacific,High income,MNP,,136
Mozambique,Sub-Saharan Africa,Low income,MOZ,,137
Mauritania,Sub-Saharan Africa,Lower middle income,MRT,,138
Mauritius,Sub-Saharan Africa,Upper middle income,MUS,,139
Malawi,Sub-Saharan Africa,Low income,MWI,,140
Malaysia,East Asia & Pacific,Upper middle income,MYS,,141
Namibia,Sub-Saharan Africa,Upper middle income,NAM,,142
New Caledonia,East Asia & Pacific,High income,NCL,,143
Niger,Sub-Saharan Africa,Low income,NER,,144
Nigeria,Sub-Saharan Africa,Lower middle income,NGA,,145
Nicaragua,Latin America & Caribbean,Lower middle income,NIC,,146
Netherlands,Europe & Central Asia,High income,NLD,,147
Norway,Europe & Central Asia,High income,NOR,,148
Nepal,South Asia,Lower middle income,NPL,,149
Nauru,East Asia & Pacific,High income,NRU,,150
New Zealand,East Asia & Pacific,High income,NZL,,151
Oman,Middle East & North Africa,High income,OMN,,152
Pakistan,South Asia,Lower middle income,PAK,,153
Panama,Latin America & Caribbean,High income,PAN,,154
Peru,Latin America & Caribbean,Upper middle income,PER,,155
Philippines,East Asia & Pacific,Lower middle income,PHL,,156
Palau,East Asia & Pacific,Upper middle income,PLW,,157
Papua New Guinea,East Asia & Pacific,Lower middle income,PNG,,158
Poland,Europe & Central Asia,High income,POL,,159
Puerto Rico,Latin America & Caribbean,High income,PRI,,160
"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,PRK,,161
Portugal,Europe & Central Asia,High income,PRT,,162
Paraguay,Latin America & Caribbean,Upper middle income,PRY,,163
West Bank and Gaza,Middle East & North Africa,Upper middle income,PSE,,164
French Polynesia,East Asia & Pacific,High income,PYF,,165
Qatar,Middle East & North Africa,High income,QAT,,166
Romania,Europe & Central Asia,High income,ROU,,167
Russian Federation,Europe & Central Asia,Upper middle income,RUS,,168
Rwanda,Sub-Saharan Africa,Low income,RWA,,169
Saudi Arabia,Middle East & North Africa,High income,SAU,,170
Sudan,Sub-Saharan Africa,Low income,SDN,,171
Senegal,Sub-Saharan Africa,Lower middle income,SEN,,172
Singapore,East Asia & Pacific,High income,SGP,,173
Solomon Islands,East Asia & Pacific,Lower middle income,SLB,,174
Sierra Leone,Sub-Saharan Africa,Low income,SLE,,175
El Salvador,Latin America & Caribbean,Upper middle income,SLV,,176
San Marino,Europe & Central Asia,High income,SMR,,177
Somalia,Sub-Saharan Africa,Low income,SOM,,178
Serbia,Europe & Central Asia,Upper middle income,SRB,,179
South Sudan,Sub-Saharan Africa,Low income,SSD,,180
São Tomé and Príncipe,Sub-Saharan Africa,Lower middle income,STP,,181
Suriname,Latin America & Caribbean,Upper middle income,SUR,,182
Slovak Republic,Europe & Central Asia,High income,SVK,,183
Slovenia,Europe & Central Asia,High income,SVN,,184
Sweden,Europe & Central Asia,High income,SWE,,185
Eswatini,Sub-Saharan Africa,Lower middle income,SWZ,,186
Sint Maarten (Dutch part),Latin America & Caribbean,High income,SXM,,187
Seychelles,Sub-Saharan Africa,High income,SYC,,188
Syrian Arab Republic,Middle East & North Africa,Low income,SYR,,189
Turks and Caicos Islands,Latin America & Caribbean,High income,TCA,,190
Chad,Sub-Saharan Africa,Low income,TCD,,191
Togo,Sub-Saharan Africa,Low income,TGO,,192
Thailand,East Asia & Pacific,Upper middle income,THA,,193
Tajikistan,Europe & Central Asia,Lower middle income,TJK,,194
Turkmenistan,Europe & Central Asia,Upper middle income,TKM,,195
Timor-Leste,East Asia & Pacific,Lower middle income,TLS,,196
Tonga,East Asia & Pacific,Upper middle income,TON,,197
Trinidad and Tobago,Latin America & Caribbean,High income,TTO,,198
Tunisia,Middle East & North Africa,Lower middle income,TUN,,199
Türkiye,Europe & Central Asia,Upper middle income,TUR,,200
Tuvalu,East Asia & Pacific,Upper middle income,TUV,,201
"Taiwan, China",East Asia & Pacific,High income,TWN,,202
Tanzania,Sub-Saharan Africa,Lower middle income,TZA,,203
Uganda,Sub-Saharan Africa,Low income,UGA,,204
Ukraine,Europe & Central Asia,Lower middle income,UKR,,205
Uruguay,Latin America & Caribbean,High income,URY,,206
United States,North America,High income,USA,,207
Uzbekistan,Europe & Central Asia,Lower middle income,UZB,,208
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,VCT,,209
"Venezuela, RB",Latin America & Caribbean,,VEN,,210
British Virgin Islands,Latin America & Caribbean,High income,VGB,,211
Virgin Islands (U.S.),Latin America & Caribbean,High income,VIR,,212
Vietnam,East Asia & Pacific,Lower middle income,VNM,,213
Vanuatu,East Asia & Pacific,Lower middle income,VUT,,214
Samoa,East Asia & Pacific,Lower middle income,WSM,,215
Kosovo,Europe & Central Asia,Upper middle income,XKX,,216
"Yemen, Rep.",Middle East & North Africa,Low income,YEM,,217
South Africa,Sub-Saharan Africa,Upper middle income,ZAF,,218
Zambia,Sub-Saharan Africa,Lower middle income,ZMB,,219
Zimbabwe,Sub-Saharan Africa,Lower middle income,ZWE,,220
