Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_VHF,preset_Score_CharlsonCI,preset_Score_mSOFA,preset_Score_mSOFA_Dengue,preset_Recommended Outcomes_Dengue,preset_Populations_Paediatric,preset_Populations_Pregnancy
presentation,,subjid,text,Participant Identification Number (PIN),,,,,,,,The Participant Identification Number or PIN is a unique number used to identify the patient's (participant's) data.,Write the Participant Identification Number (PIN).,,,,,,1,1,1,1,1,1,1,,,,,,
presentation,INCLUSION CRITERIA,inclu_disease,user_list,Suspected or confirmed infection,,,,,inclusion_Diseases,,,This refers to any suspected or confirmed infection(s).,"If more than one infection is suspected, select the most likely and complete the PATHOGEN TESTING section with laboratory confirmation.",,,,,,1,1,1,1,1,1,1,,,,,,
presentation,INCLUSION CRITERIA,inclu_reason,radio,Is the suspected or confirmed infection the reason for hospital admission?,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to whether suspected or confirmed infection with the pathogen of interest if the reason (indication) for the hospital admission.,Indicate 'Yes' if suspected or confirmed infection with the pathogen of interest if the reason (indication) for the hospital admission. Indicate 'No' if the suspected or confirmed infection with the pathogen of interest is not the reason (indication) for hospital admission.,,,,,,1,,,,1,1,1,,,,,,
presentation,INCLUSION CRITERIA,inclu_case,radio,Status of case,"1, Confirmed | 2, Probable | 3, Suspected | 4, Discarded | 5, Error",,,,,,,"Confirmed refers to a case that is laboratory confirmed and may fulfil the clinical criteria as described in the case definition. Probable refers to a clinically compatible illness that is epidemiologically linked to a confirmed case without laboratory confirmation of infection with pathogen of interest. Suspected refers to a clinically compatible illness without epidemiological link or laboratory confirmation. Discarded refers to a patient with a negative laboratory test and has failed to fulfil the criteria for a suspect, probable or confirmed case. ",Select the most appropriate option that represents the status of the case. ,,,,,,,,,1,1,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_testreason,radio,Reason why the patient was tested," 1, Symptomatic | 2, Asymptomatic, contact-traced | 3, Asymptomatic, mass testing campaign | 4, Not tested | 99, Unknown | 88, Other",,,,,,,This refers to the reason the patient was tested for the pathogen of interest.,Select the most appropriate option which corresponds to the reason the patient was tested for the pathogen of interest.,,,,,,,,,1,1,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_testreason_otth,text,Specify other reason,,,,,,[inclu_testreason]='88',,This refers to the reason the patient was tested for the pathogen of interest.,Select the most appropriate option which corresponds to the reason the patient was tested for the pathogen of interest.,,,,,,,,,1,1,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consentdes,descriptive,Consent:,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consent,radio,Participant (or their representative) has provided consent to participate in this study.,"1, Yes | 0, No, participant did not agree to participate in the study | 2, No, the ethics committee approved a waiver of consent | 99, Unknown",,,,,,,This refers to provision of informed consent by the patient or their representative for participation in this study.,Indicate 'Yes' if the patient or their representative has provided their informed consent for participation in this study.,SNOMED,"61861000000100,  Consent (record artifact)","C5702721, Consent (record artifact)",,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consent_date,date_dmy,Date of consent,,date_dmy,,today,,[inclu_consent]='1',,This refers to date on which informed consent was given for the participants inclusion in this study.,Enter the date on which informed consent was given for the participants inclusion in this study. (Use the format DD/MM/YYYY),,,"C2985782, Informed Consent Date",,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consent_who,radio,Consent provided by,"1, Participant | 2, Parent/guardian | 3, Consultee | 4, Independent clinician ",,,,,[inclu_consent]='1',,This refers to who provided the consent for participation in this study.,Select the most appropriate option that represents who provided the consent for participation in this study.,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consent_whopg,radio,Does the child or young person give their assent?,"1, Yes | 0, No | 2, Not competent",,,,,[inclu_consent_who]='2',,"This refers to assent given by a minor or adult who is unable to give consent on their own behalf, to participate in a study. Assent must be accompanied by consent from a parent or legal guardian for full participation in the study.",Select the most appropriate option that represents whether assent was provided for participation in this study.,,,"C5205794, Informed Assent",,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consent2des,descriptive,"Secondary use of data collected, the participant agreed with the following statements:",,,,,,[inclu_consent]='1',,,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consent_secrsch,radio,"Future use of pseudonymised data in ethically approved research, including research in other countries","1, Yes | 0, No",,,,,[inclu_consent]='1',,Refers to consent for future secondary use of pseudonymised data in ethically approved research,This is an optional consent question and is not required for completion of the remaining CRF.,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consent_secprod,radio,"Future use of pseudonymised data to manufacture tests, treatments or other products, including commercial products","1, Yes | 0, No",,,,,[inclu_consent]='1',,"Refers to consent for future secondary use of pseudonymised data to manufacture tests, treatments or other products, including commercial products",This is an optional consent question and is not required for completion of the remaining CRF.,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consent_secgen,radio,"Future use of pseudonymised genetic data in ethically approved research, including research in other countries","1, Yes | 0, No",,,,,[inclu_consent]='1',,Refers to consent for future secondary use of pseudonymised genetic data in ethically approved research,This is an optional consent question and is not required for completion of the remaining CRF.,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consentsecsamp,descriptive,"Secondary use of samples collected, the participant agreed with the following statements:  ",,,,,,[inclu_consent]='1',,,,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consent_secsamprsch,radio,"Future use of pseudonymised samples in ethically approved research, including research in other countries","1, Yes | 0, No",,,,,[inclu_consent]='1',,"Refers to consent for future secondary use of pseudonymised samples in ethically approved research, including research in other countries",This is an optional consent question and is not required for completion of the remaining CRF.,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consent_secsampprod,radio,"Future use of pseudonymised samples or materials or data derived from those samples to manufacture tests, treatments or other products, including commercial products","1, Yes | 0, No",,,,,[inclu_consent]='1',,"Refers to consent for future secondary use of pseudonymised samples or materials or data derived from those samples to manufacture tests, treatments or other products, including commercial products",This is an optional consent question and is not required for completion of the remaining CRF.,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consent_secsampgen,radio,"Future use of pseudonymised genetic samples in ethically approved research, including research in other countries","1, Yes | 0, No",,,,,[inclu_consent]='1',,"Refers to consent for future secondary use of pseudonymised genetic samples in ethically approved research, including research in other countries",This is an optional consent question and is not required for completion of the remaining CRF.,,,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_consentcont,descriptive,Contact  ,,,,,,[inclu_consent]='1',,,,,,,,,,,,,,,,,,,,,
