Microorganism,Code,Library,Type,Value
Acremonium,63996006.0,SNOMED,fungi,1
Adenoviridae,424470006.0,SNOMED,virus,2
Ancylostoma duodenale,81559006.0,SNOMED,"parasite, helminth",3
Andes orthohantavirus,442001008.0,SNOMED,virus,4
Arenaviridae,243624009.0,SNOMED,virus,5
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",6
Aspergillus,2429008.0,SNOMED,fungi,7
Aspergillus flavus,66821001.0,SNOMED,fungi,8
Aspergillus fumigatus,32684000.0,SNOMED,fungi,9
Aspergillus fumigatus complex,719029007.0,SNOMED,fungi,10
Aspergillus niger,89354002.0,SNOMED,fungi,11
Aspergillus terreus,26406003.0,SNOMED,fungi,12
Aspergillus versicolor,48315007.0,SNOMED,fungi,13
Astroviridae,424055004.0,SNOMED,virus,14
Avian Influenza A H5N1,772827006.0,SNOMED,virus,15
Avian Influenza A H7N9,609444009.0,SNOMED,virus,16
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",17
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,18
Bocavirus (Genus),430902006.0,SNOMED,virus,19
Brugia malayi,112443002.0,SNOMED,"parasite, helminth",20
Bunyaviridae (Family),243615000.0,SNOMED,virus,21
Caliciviridae (Family),243627002.0,SNOMED,virus,22
Candida,3265006.0,SNOMED,fungi,23
Candida albicans,53326005.0,SNOMED,fungi,24
Candida auris,3490000000000.0,SNOMED,fungi,25
Candida dubliniensis,115952006.0,SNOMED,fungi,26
Candida glabrata,444877006.0,SNOMED,fungi,27
Candida inconspicua,283871001.0,SNOMED,fungi,28
Candida orthopsilosis,3690000000000.0,SNOMED,fungi,29
Candida parapsilosis,61302002.0,SNOMED,fungi,30
Candida tropicalis,47885008.0,SNOMED,fungi,31
Clavispora lusitaniae,50164000.0,SNOMED,fungi,32
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",33
Coccidioides,8672004.0,SNOMED,fungi,34
Coccidioides immitis,23439005.0,SNOMED,fungi,35
Coronaviridae (Family),243607003.0,SNOMED,virus,36
Crimean-Congo Hemorrhagic Fever virus (CCHF),79875007.0,SNOMED,virus,37
Cryptococcus gattii,450862004.0,SNOMED,fungi,38
Cryptococcus neoformans,67168003.0,SNOMED,fungi,39
Cryptosporidium,83821001.0,SNOMED,"parasite, protozoa",40
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",41
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",42
Curvularia lunata,33165007.0,SNOMED,fungi,43
Cyclospora,103560006.0,SNOMED,"parasite, protozoa",44
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",45
Cytomegalovirus,407444007.0,SNOMED,virus,46
Deltavirus,83617006.0,SNOMED,virus,47
Dengue virus,34348001.0,SNOMED,virus,48
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",49
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",50
Ebola virus,424206003.0,SNOMED,virus,51
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",52
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",53
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",54
Entamoeba histolytica,4716008.0,SNOMED,"parasite, protozoa",55
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",56
Enterovirus (genus Enterovirus),243633006.0,SNOMED,virus,57
Epidermophyton,112403007.0,SNOMED,fungi,58
Exophiala dermatitidis,20586007.0,SNOMED,fungi,59
Falciformispora senegalensis (formerly Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,60
Filoviridae (Family),407325004.0,SNOMED,virus,61
Flaviviridae (Family),243602009.0,SNOMED,virus,62
Fungi,414561005.0,SNOMED,fungi,63
Fusarium,35238009.0,SNOMED,fungi,64
Genus Marburgvirus,424421007.0,SNOMED,virus,65
Giardia,61419001.0,SNOMED,"parasite, protozoa",66
Giardia intestinalis,78181009.0,SNOMED,"parasite, protozoa",67
Giardia lamblia,78181009.0,SNOMED,"parasite, protozoa",68
Hantavirus,49445003.0,SNOMED,virus,69
Hendra virus,115510008.0,SNOMED,virus,70
Hepadnaviridae,422951006.0,SNOMED,virus,71
Hepatitis A virus,32452004.0,SNOMED,virus,72
Hepatitis B virus,81665004.0,SNOMED,virus,73
Hepatitis C virus,62944002.0,SNOMED,virus,74
Hepatitis D,83617006.0,SNOMED,virus,75
Hepatitis E virus,78475006.0,SNOMED,virus,76
Herpesviridae,128377001.0,SNOMED,virus,77
Histoplasma,81951003.0,SNOMED,fungi,78
Histoplasma capsulatum,56596006.0,SNOMED,fungi,79
"Human Herpesvirus 1 (HHV1, Herpes simplex virus 1, HSV1)",407451003.0,SNOMED,virus,80
"Human Herpesvirus 2 (HHV2, Herpes Simplex virus 2, HSV2)",407450002.0,SNOMED,virus,81
"Human Herpesvirus 3 (Varicella-zoster virus, VZV)",19551004.0,SNOMED,virus,82
"Human Herpesvirus 4 (Epstein-Barr virus, EBV)",40168006.0,SNOMED,virus,83
"Human Herpesvirus 5 (Cytomegalovirus humanbeta5, hCMV)",243579005.0,SNOMED,virus,84
Human Herpesvirus 6 (Roseola infantum virus),103528003.0,SNOMED,virus,85
Human Immunodeficiency Virus (HIV),19030005.0,SNOMED,virus,86
Human Immunodeficiency virus type 1 (HIV-1),89293008.0,SNOMED,virus,87
Human Immunodeficiency virus type 2 (HIV-2),36115006.0,SNOMED,virus,89
Human Metapneumovirus (hMPV),416730002.0,SNOMED,virus,90
Human Parainfluenza virus,407498006.0,SNOMED,virus,91
Human Parainfluenza virus 1,407489008.0,SNOMED,virus,92
Human Parainfluenza virus 2,407491000.0,SNOMED,virus,93
Human Parainfluenza virus 3,407493002.0,SNOMED,virus,94
Human Parainfluenza virus 4,89117003.0,SNOMED,virus,95
Human Parvovirus b19,63603005.0,SNOMED,virus,96
Human Respiratory Syncytial virus (RSV),6415009.0,SNOMED,virus,97
Human bocavirus,446373002.0,SNOMED,virus,98
Human coronavirus,84101006.0,SNOMED,virus,100
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",101
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",102
Influenza A subtype H5N8,708527000.0,SNOMED,virus,103
Influenza A suptype H7N7,715346008.0,SNOMED,virus,104
Influenza A virus,407479009.0,SNOMED,virus,105
Influenza A virus subtype H1N1,442352004.0,SNOMED,virus,106
Influenza A virus subtype H5N1,772827006.0,SNOMED,virus,107
Influenza A virus subtype H7N9,609444009.0,SNOMED,virus,108
Influenza B virus,407480007.0,SNOMED,virus,109
Influenza virus,725894000.0,SNOMED,virus,110
Isospora belli,12633005.0,SNOMED,"parasite, protozoa",111
Japanese encephalitis virus (JEV),243603004.0,SNOMED,virus,112
Junin virus ,26352009.0,SNOMED,virus,113
Lassa virus,85944001.0,SNOMED,virus,114
Leishmania,79357004.0,SNOMED,"parasite, protozoa",115
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",116
Leishmania braziliensis,83196002.0,SNOMED,"parasite, protozoa",117
Leishmania braziliensis complex,7400004.0,SNOMED,"parasite, protozoa",118
Leishmania donovani complex,79781008.0,SNOMED,"parasite, protozoa",119
Lichthiemia,734206002.0,SNOMED,fungi,120
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,121
Lujo virus,450622000.0,SNOMED,virus,122
Lymphocytic choriomeningitis virus (LCMV),82518003.0,SNOMED,virus,123
MERS-CoV ,697932005.0,SNOMED,virus,124
Machupo virus,71489006.0,SNOMED,virus,125
Madurella,23009007.0,SNOMED,fungi,126
Malassezia pachydermatis,51257000.0,SNOMED,fungi,127
Measles morbillivirus,52584002.0,SNOMED,virus,128
Metapneumovirus,407501006.0,SNOMED,virus,129
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,130
Microsporidia,418382009.0,SNOMED,"parasite, protozoa",131
Microsporum,11983001.0,SNOMED,fungi,132
Middle East Respiratory Syndrome Coronavirus,697932005.0,SNOMED,virus,133
Mpox virus,59774002.0,SNOMED,virus,134
Mucor,49782006.0,SNOMED,fungi,135
Mumps virus,50384007.0,SNOMED,virus,136
Necator americanus,43905006.0,SNOMED,"parasite, helminth",137
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,138
Nipah virus,115511007.0,SNOMED,virus,139
Norovirus,407359000.0,SNOMED,virus,140
Onchocerca volvulus,52397001.0,SNOMED,"parasite, helminth",141
Orthomyxoviridae (influenza viruses),55014007.0,SNOMED,virus,142
Papillomavirus,243584004.0,SNOMED,virus,143
Papoviridae,243587006.0,SNOMED,virus,144
Paracoccidioides,112405000.0,SNOMED,fungi,145
Paragonimus westermani,58412002.0,SNOMED,"parasite, helminth",146
Paramyxoviridae,128354001.0,SNOMED,virus,147
Parvoviridae,243587006.0,SNOMED,virus,148
Penicillium,42993004.0,SNOMED,fungi,149
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,150
Picornaviridae,407344006.0,SNOMED,virus,151
Plasmodium,34706006.0,SNOMED,"parasite, protozoa",152
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",153
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",154
Plasmodium ovale,18508006.0,SNOMED,"parasite, protozoa",155
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",156
