Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_Encephalitis,Comment,Value
Acetylsalicylic Acid (Aspirin),B01AC06 , ATC     ,1,,,1,1,,,,1,,1
Alteplase,B01AD02, ATC     ,,,,,,,,,,,2
Apixaban,B01AF02 , ATC     ,1,,1,1,1,,,,1,,3
Argatroban,B01AE03, ATC     , ,,,,,,,,,,4
Bivalirudin,B01AE06 , ATC     , ,,,,,,,,,,5
Clopidogrel,B01AC04 , ATC     ,1,,,,,,,,1,,6
Dabigatran Etexilate,B01AE07 , ATC     ,1,,,,,,,,1,,7
Dalteparin,B01AB04 , ATC     , ,,,,,,,,,,8
Desirudin,B01AE01, ATC     , ,,,,,,,,,,9
Edoxaban,B01AF03 , ATC     , ,,,,,,,,,,10
Enoxaparin,B01AB05 , ATC     ,1,,1,1,1,,,1,1,,11
Fondaparinux,B01AX05 , ATC     , ,,,,,,,,,,12
Heparin,B01AB01 , ATC     ,1,,,1,1,,,1,1,,13
Lepirudin,B01AE02, ATC     , ,,,,,,,,,,14
Rivaroxaban,B01AF01 , ATC     ,1,,1,,,,,,1,,15
Streptokinase,B01AD01, ATC     ,,,,,,,,,,,16
Ticagrelor,B01AC24 , ATC     ,1,,,,,,,,1,,17
Ticlopidine,B01AC05,ATC,,,,,,,,,,,18
Tinzaparin,B01AB10, ATC     , ,,,,,,,,,,19
Urokinase,B01AD04, ATC     ,,,,,,,,,,,20
Warfarin,B01AA03 , ATC     ,1,,,1,1,,,,1,,21
