Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype Syndromic CRF_Encephalitis,Comment,Value
Aciclovir,J05AB01  ,ATC     ,,,,,,,,,,1,,1
Amantadine,N04BB01,ATC,,,,,,,,1,,1,,2
Atazanavir,J05AE08,ATC     ,,,,,,,,,,1,,3
Baloxavir marboxil,782500006,SNOMED,,,,,,,1,1,,1,,4
Brincidofovir,J05AB17,ATC     ,1,,,,1,1,,,,1,,5
Bulevirtide,J05AX28,ATC     ,,,,,,,,,,1,,6
Cidofovir,J05AB12,ATC     ,1,,,,1,1,,,,1,,7
Darunavir,J05AE10,ATC     ,,,,,,,,,,1,,8
Dolutegravir,J05AJ03,ATC     ,,,,,,,,,,1,,9
Efavirenz,J05AG03,ATC     ,,,,,,,,,,1,,10
Emtricitabine,J05AF09,ATC     ,,,,,,,,,,1,,11
Famciclovir,J05AB09,ATC     ,,,,,,,,,,1,,12
Favipiravir,J05AX27,ATC     ,,1,,,,,1,1,1,1,,13
Fluoxetine,N06AB03,ATC     ,,,,,,,,,,,,14
Ganciclovir,J05AB06,ATC     ,,,,,,,,,,1,,15
Lamivudine,J05AF05,ATC     ,,,,,,,,,,,,16
Laninamivir,OMOP5173449,RxNorm Extension,,,,,,,1,,,,,17
Lopinavir/Ritonavir,J05AR10  ,ATC     ,,1,,,,,,,,,,18
Molnupiravir,J05AB18 ,ATC     ,,,,,,,,,,,,19
Nirmatrelvir/Retonavir (Paxlovid),J05AE30,ATC     ,,,,,,,,,,,,20
Oseltamivir (Tamiflu),J05AH02  ,ATC     ,,1,,,,,1,1,,1,,21
Penciclovir,J05AB13  ,ATC     ,,,,,,,,,,1,,22
Peramivir,619693,RxNorm,,,,,,,1,,,,,23
Pleconaril,J05AX06,ATC     ,,,,,,,,,,,,24
Pocapavir,,,,,,,,,,,,,,25
Raltegravir,J05AJ01,ATC     ,,,,,,,,,,,,26
Remdesivir,J05AB16,ATC     ,,1,,,,,,,1,1,,27
Ribavirin,J05AP01,ATC     ,,,,,,,,,1,1,,28
Rimantadine,J05AC02,ATC     ,,,,,,,,1,,,,29
Tecovirimat,J05AX24,ATC     ,1,,,,1,1,,,,1,,30
Tenofovir Disoproxil,J05AF07,ATC     ,,,,,,,,,,,,31
Tenofovir alafenamide,J05AF13,ATC     ,,,,,,,,,,,,32
Umifenovir,J05AX13,ATC     ,,,,,,,1,1,,,,33
Valaciclovir,J05AB11,ATC     ,,,,,,,,,,1,,34
Valganciclovir,J05AB14,ATC     ,,,,,,,,,,1,,35
Zalcitabine,J05AF03,ATC     ,,,,,,,,,,,,36
Zanamivir,J05AH01,ATC     ,,1,,,,,1,1,,,,37
Zidovudine,J05AF01,ATC     ,,,,,,,,,,,,38
