Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Encephalitis,Value
Acetylsalicylic acid (Aspirin),N02BA01, ATC     ,1,1,1,1,1,1
Celecoxib, M01AH01 , ATC     ,1,1,1,1,1,2
Diclofenac, M01AB05 , ATC     ,1,1,1,1,1,3
Etoricoxib, M01AH05 , ATC     , , , , ,,4
Flurbiprofen, M01AE09 , ATC     , , , , ,1,5
Ibuprofen, M01AE01 , ATC     ,1,1,1,1,1,6
Indomethacin, M01AB01 , ATC     ,1,1,1,1,1,7
Ketoprofen, M01AE03 , ATC     , , , , ,,8
Ketorolac, M01AB15 , ATC     , , , , ,,9
Mefenamic Acid, M01AG01 , ATC     , , , , ,1,10
Meloxicam, M01AC06 , ATC     , , , , ,,11
Nabumetone, M01AX01 , ATC     , , , , ,,12
Naproxen, M01AE02 , ATC     ,1,1,1,1,1,13
Piroxicam, M01AC01 , ATC     , , ,, ,,14
Sulindac, M01AB02 , ATC     , , ,, ,,15
