Microorganism,Code,Library,Type,Value,Selected
Acremonium,63996006,SNOMED,fungi,1,1
Adenoviridae,424470006,SNOMED,virus,2,1
Ancylostoma duodenale,81559006,SNOMED,"parasite, helminth",3,1
Andes orthohantavirus,442001008,SNOMED,virus,4,1
Arenaviridae,243624009,SNOMED,virus,5,1
Ascaris lumbricoides,19061001,SNOMED,"parasite, helminth",6,1
Aspergillus,2429008,SNOMED,fungi,7,1
Aspergillus flavus,66821001,SNOMED,fungi,8,1
Aspergillus fumigatus,32684000,SNOMED,fungi,9,1
Aspergillus fumigatus complex,719029007,SNOMED,fungi,10,1
Aspergillus niger,89354002,SNOMED,fungi,11,1
Aspergillus terreus,26406003,SNOMED,fungi,12,1
Aspergillus versicolor,48315007,SNOMED,fungi,13,1
Astroviridae,424055004,SNOMED,virus,14,1
Avian Influenza A H5N1,772827006,SNOMED,virus,15,1
Avian Influenza A H7N9,609444009,SNOMED,virus,16,1
Blastocystis hominis,28923009,SNOMED,"parasite, Stramenopiles",17,1
Blastomyces dermatitidis,65615007,SNOMED,fungi,18,1
Bocavirus (Genus),430902006,SNOMED,virus,19,1
Brugia malayi,112443002,SNOMED,"parasite, helminth",20,1
Bunyaviridae (Family),243615000,SNOMED,virus,21,1
Caliciviridae (Family),243627002,SNOMED,virus,22,1
Candida,3265006,SNOMED,fungi,23,1
Candida albicans,53326005,SNOMED,fungi,24,1
Candida auris,3490000000000,SNOMED,fungi,25,1
Candida dubliniensis,115952006,SNOMED,fungi,26,1
Candida glabrata,444877006,SNOMED,fungi,27,1
Candida inconspicua,283871001,SNOMED,fungi,28,1
Candida orthopsilosis,3690000000000,SNOMED,fungi,29,1
Candida parapsilosis,61302002,SNOMED,fungi,30,1
Candida tropicalis,47885008,SNOMED,fungi,31,1
Clavispora lusitaniae,50164000,SNOMED,fungi,32,1
Clonorchis sinensis,36559008,SNOMED,"parasite, helminth",33,1
Coccidioides,8672004,SNOMED,fungi,34,1
Coccidioides immitis,23439005,SNOMED,fungi,35,1
Coronaviridae (Family),243607003,SNOMED,virus,36,1
Crimean-Congo Hemorrhagic Fever virus (CCHF),79875007,SNOMED,virus,37,1
Cryptococcus gattii,450862004,SNOMED,fungi,38,1
Cryptococcus neoformans,67168003,SNOMED,fungi,39,1
Cryptosporidium,83821001,SNOMED,"parasite, protozoa",40,1
Cryptosporidium hominis,417722006,SNOMED,"parasite, protozoa",41,1
Cryptosporidium parvum,51504002,SNOMED,"parasite, protozoa",42,1
Curvularia lunata,33165007,SNOMED,fungi,43,1
Cyclospora,103560006,SNOMED,"parasite, protozoa",44,1
Cyclospora cayetanensis,103561005,SNOMED,"parasite, protozoa",45,1
Cytomegalovirus,407444007,SNOMED,virus,46,1
Deltavirus,83617006,SNOMED,virus,47,1
Dengue virus,34348001,SNOMED,virus,48,1
Diphyllobothrium latum,40406002,SNOMED,"parasite, helminth",49,1
Dracunculus medinensis,3824001,SNOMED,"parasite, helminth",50,1
Ebola virus,424206003,SNOMED,virus,51,1
Echinococcus granulosus,243672005,SNOMED,"parasite, helminth",52,1
Entamoeba,38324000,SNOMED,"parasite, protozoa",53,1
Entamoeba dispar,415987008,SNOMED,"parasite, protozoa",54,1
Entamoeba histolytica,4716008,SNOMED,"parasite, protozoa",55,1
Enterobius vermicularis,55008000,SNOMED,"parasite, helminth",56,1
Enterovirus (genus Enterovirus),243633006,SNOMED,virus,57,1
Epidermophyton,112403007,SNOMED,fungi,58,1
Exophiala dermatitidis,20586007,SNOMED,fungi,59,1
Falciformispora senegalensis (formerly Leptosphaeria senegalensis),48529007,SNOMED,fungi,60,1
Filoviridae (Family),407325004,SNOMED,virus,61,1
Flaviviridae (Family),243602009,SNOMED,virus,62,1
Fungi,414561005,SNOMED,fungi,63,1
Fusarium,35238009,SNOMED,fungi,64,1
Genus Marburgvirus,424421007,SNOMED,virus,65,1
Giardia,61419001,SNOMED,"parasite, protozoa",66,1
Giardia intestinalis,78181009,SNOMED,"parasite, protozoa",67,1
Giardia lamblia,78181009,SNOMED,"parasite, protozoa",68,1
Hantavirus,49445003,SNOMED,virus,69,1
Hendra virus,115510008,SNOMED,virus,70,1
Hepadnaviridae,422951006,SNOMED,virus,71,1
Hepatitis A virus,32452004,SNOMED,virus,72,1
Hepatitis B virus,81665004,SNOMED,virus,73,1
Hepatitis C virus,62944002,SNOMED,virus,74,1
Hepatitis D,83617006,SNOMED,virus,75,1
Hepatitis E virus,78475006,SNOMED,virus,76,1
Herpesviridae,128377001,SNOMED,virus,77,1
Histoplasma,81951003,SNOMED,fungi,78,1
Histoplasma capsulatum,56596006,SNOMED,fungi,79,1
"Human Herpesvirus 1 (HHV1, Herpes simplex virus 1, HSV1)",407451003,SNOMED,virus,80,1
"Human Herpesvirus 2 (HHV2, Herpes Simplex virus 2, HSV2)",407450002,SNOMED,virus,81,1
"Human Herpesvirus 3 (Varicella-zoster virus, VZV)",19551004,SNOMED,virus,82,1
"Human Herpesvirus 4 (Epstein-Barr virus, EBV)",40168006,SNOMED,virus,83,1
"Human Herpesvirus 5 (Cytomegalovirus humanbeta5, hCMV)",243579005,SNOMED,virus,84,1
Human Herpesvirus 6 (Roseola infantum virus),103528003,SNOMED,virus,85,1
Human Immunodeficiency Virus (HIV),19030005,SNOMED,virus,86,1
Human Immunodeficiency virus type 1 (HIV-1),89293008,SNOMED,virus,87,1
Human Immunodeficiency virus type 2 (HIV-2),36115006,SNOMED,virus,89,1
Human Metapneumovirus (hMPV),416730002,SNOMED,virus,90,1
Human Parainfluenza virus,407498006,SNOMED,virus,91,1
Human Parainfluenza virus 1,407489008,SNOMED,virus,92,1
Human Parainfluenza virus 2,407491000,SNOMED,virus,93,1
Human Parainfluenza virus 3,407493002,SNOMED,virus,94,1
Human Parainfluenza virus 4,89117003,SNOMED,virus,95,1
Human Parvovirus b19,63603005,SNOMED,virus,96,1
Human Respiratory Syncytial virus (RSV),6415009,SNOMED,virus,97,1
Human bocavirus,446373002,SNOMED,virus,98,1
Human coronavirus,84101006,SNOMED,virus,100,1
Hymenolepis diminuta,23895005,SNOMED,"parasite, helminth",101,1
Hymenolepis nana,74311004,SNOMED,"parasite, helminth",102,1
Influenza A subtype H5N8,708527000,SNOMED,virus,103,1
Influenza A suptype H7N7,715346008,SNOMED,virus,104,1
Influenza A virus,407479009,SNOMED,virus,105,1
Influenza A virus subtype H1N1,442352004,SNOMED,virus,106,1
Influenza A virus subtype H5N1,772827006,SNOMED,virus,107,1
Influenza A virus subtype H7N9,609444009,SNOMED,virus,108,1
Influenza B virus,407480007,SNOMED,virus,109,1
Influenza virus,725894000,SNOMED,virus,110,1
Isospora belli,12633005,SNOMED,"parasite, protozoa",111,1
Japanese encephalitis virus (JEV),243603004,SNOMED,virus,112,1
Junin virus ,26352009,SNOMED,virus,113,1
Lassa virus,85944001,SNOMED,virus,114,1
Leishmania,79357004,SNOMED,"parasite, protozoa",115,1
Leishmania Viannia,712933004,SNOMED,"parasite, protozoa",116,1
Leishmania braziliensis,83196002,SNOMED,"parasite, protozoa",117,1
Leishmania braziliensis complex,7400004,SNOMED,"parasite, protozoa",118,1
Leishmania donovani complex,79781008,SNOMED,"parasite, protozoa",119,1
Lichthiemia,734206002,SNOMED,fungi,120,1
Lomentospora prolificans (Scedosporium prlificans),69564000,SNOMED,fungi,121,1
Lujo virus,450622000,SNOMED,virus,122,1
Lymphocytic choriomeningitis virus (LCMV),82518003,SNOMED,virus,123,1
MERS-CoV ,697932005,SNOMED,virus,124,1
Machupo virus,71489006,SNOMED,virus,125,1
Madurella,23009007,SNOMED,fungi,126,1
Malassezia pachydermatis,51257000,SNOMED,fungi,127,1
Measles morbillivirus,52584002,SNOMED,virus,128,1
Metapneumovirus,407501006,SNOMED,virus,129,1
Meyerozyma guilliermondii,29812000,SNOMED,fungi,130,1
Microsporidia,418382009,SNOMED,"parasite, protozoa",131,1
Microsporum,11983001,SNOMED,fungi,132,1
Middle East Respiratory Syndrome Coronavirus,697932005,SNOMED,virus,133,1
Mpox virus,59774002,SNOMED,virus,134,1
Mucor,49782006,SNOMED,fungi,135,1
Mumps virus,50384007,SNOMED,virus,136,1
Necator americanus,43905006,SNOMED,"parasite, helminth",137,1
Neotestudina rosatii (Zopfia rosatii),47066009,SNOMED,fungi,138,1
Nipah virus,115511007,SNOMED,virus,139,1
Norovirus,407359000,SNOMED,virus,140,1
Onchocerca volvulus,52397001,SNOMED,"parasite, helminth",141,1
Orthomyxoviridae (influenza viruses),55014007,SNOMED,virus,142,1
Papillomavirus,243584004,SNOMED,virus,143,1
Papoviridae,243587006,SNOMED,virus,144,1
Paracoccidioides,112405000,SNOMED,fungi,145,1
Paragonimus westermani,58412002,SNOMED,"parasite, helminth",146,1
