Sample_Type,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_VHF,Value
Amniotic fluid,TEMP,TEMP,,,,,,,,,,1
BAL (Bronchoalveolar Lavage),TEMP,TEMP,1,1,,,,1,,1,1,2
Blood,TEMP,TEMP,1,1,1,1,1,1,1,1,1,3
Breast milk,TEMP,TEMP,,,,,,,,,,4
Buccal swab,TEMP,TEMP,,,,1,1,,1,,1,5
CSF (Cerebrospinal Fluid),TEMP,TEMP,,,1,1,1,,1,,1,6
Combined nasal/NP + throat swab,TEMP,TEMP,1,1,,,,1,,1,1,7
ETA (Endotracheal aspirate),TEMP,TEMP,1,1,,,,1,,1,1,8
Eye swab,TEMP,TEMP,,,,1,1,,1,1,,9
Faeces/rectal swab,TEMP,TEMP,,,,1,1,,1,,,10
Lesion/crust (skin) swab,TEMP,TEMP,,,,1,1,,1,,,11
Nasal/NP swab,TEMP,TEMP,1,1,,,,1,,1,1,12
Neonate-blood,TEMP,TEMP,,,1,,,,,,,13
Semen,TEMP,TEMP,,,,1,1,,1,,,14
Sputum,TEMP,TEMP,1,1,,,,1,,1,1,15
Stool sample,TEMP,TEMP,,,,,,,,,,16
Throat swab,TEMP,TEMP,1,1,,1,1,1,1,1,1,17
Urethral swab,TEMP,TEMP,,,,,,,,,,18
Urine,TEMP,TEMP,,,,1,1,,1,,,19
Vaginal swab,TEMP,TEMP,,,,1,1,,1,,,20
