Sequelae,Code,Selected,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_ARI,Value
Blindness,,1,1,1,,1
Cardiovascular Effects,,,,,1,2
Decreased vision,,1,1,1,,3
Depression,,1,1,1,,4
Dyspareunia,,1,1,1,,5
Immunological Consequence,,,,,1,6
Neurological Complications,,,,,1,7
Psychological Impacts,,,,,1,8
Rectal stricture,,1,1,1,,9
Respiratory Complications,,,,,1,10
Systemic Effects,,,,,1,11
Urethral stricture,,1,1,1,,12
Vaginal stricture,,1,1,1,,13
