Drugs,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Arbovirus,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Syndromic CRF_Encephalitis,Comment,Value
Amikacin,J01GB06,ATC,1,,,,,,,,,,,1
Amoxicillin,J01CA04,ATC,1,1,,,,,1,,,,,2
Amoxicillin/Beta-lactamase inhibitor,J01CR02,ATC,1,1,,,,,1,,,,,3
Amphotericin,J02AA01,ATC,,,,,,,,,,,,4
Ampicillin,J01CA01,ATC,1,,,,,,,,,1,,5
Ampicillin/Beta-lactamase inhibitor,J01CR01,ATC,1,,,,,,,,,,,6
Atovaquone,P01AX06,ATC,,,,,,,,,,,,7
Azithromycin,J01FA10,ATC,1,1,1,1,1,1,1,1,1,,,8
Aztreonam,J01DF01,ATC,,,,,,,,,,,,9
Bacampicillin,J01CA06,ATC,,,,,,,,,,,,10
Bacitracin,J01XX10,ATC,,,,,,,,,,,,11
Benzathine phenoxymethylpenicillin,J01CE10,ATC,,,,,,,,,,,,12
Benzylpenicillin,J01CE01,ATC,1,,,,,,,,,,,13
Capreomycin,J04AB30,ATC,,,,,,,,,,,,14
Carbenicillin indanyl sodium,J01CA05,ATC,,,,,,,,,,,,15
Caspofungin,J02AX04,ATC,,,,,,,,,,,,16
Cefaclor,J01DC04,ATC,,,,,,,,,,,,17
Cefadroxil,J01DB05,ATC,,,,,,,,,,,,18
Cefalexin,J01DB01,ATC,1,,,,,,,,,,,19
Cefamandole,J01DC03,ATC,,,,,,,,,,,,20
Cefazolin,J01DB04,ATC,1,,,,,,,,,,,21
Cefdinir,J01DD15,ATC,,,,,,,,,,,,22
Cefditoren,J01DD16,ATC,,,,,,,,,,,,23
Cefepime,J01DE01,ATC,1,,,,,,,,,1,,24
Cefixime,J01DD08,ATC,,,,,,,,,,,,25
Cefmetazole,J01DC09,ATC,,,,,,,,,,,,26
Cefoperazone,J01DD12,ATC,,,,,,,,,,,,27
Cefotaxime,J01DD01,ATC,1,,,,,,,,,1,,28
Cefotetan,J01DC05,ATC,,,,,,,,,,,,29
Cefoxitin,J01DC01,ATC,,,,,,,,,,,,30
Cefpodoxime Proxetil,J01DD13,ATC,,,,,,,,,,,,31
Cefprozil,J01DC10,ATC,,,,,,,,,,,,32
Ceftaroline Fosamil,J01DI02,ATC,1,,,,,,,,,,,33
Ceftazidime,J01DD02,ATC,1,,,,,,,,,1,,34
Ceftazidime/beta-lactamase inhibitor,J01DD52,ATC,,,,,,,,,,,,35
