Site,Code,Library,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_VHF,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_Encephalitis,preset_Recommended Outcomes_Dengue,Value
Skin,,,1,1,1,1,1,,1,1,,1,1
Petechiae,,,1,1,1,1,1,1,1,1,1,1,2
Nose,,,1,1,1,1,1,1,1,1,1,1,3
Gums,,,1,1,1,1,1,1,1,1,,1,4
GI tract,,,1,1,1,1,1,1,1,1,,1,5
Urinary tract,,,1,1,1,1,1,1,1,1,,1,6
Vagina,,,1,1,1,1,1,1,1,1,,1,7
Intracranial,,,,,,,,1,,,1,1,8
Intraspinal,,,,,,,,1,,,,1,9
Intraocular,,,,,,,,1,,,,1,10
Retroperitoneal,,,,,,,,,,,,1,11
Intra-articular,,,,,,,,,,,,1,12
Pericardial,,,,,,,,1,,,1,1,13
Intramuscular (with compartment syndrome),,,,,,,,,,,,1,14
IV catheter site,,,,,,,,1,,,,,15
